Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"En una entrevista de feina un dilluns al matí, un candidat alt i un candidat baix esperaven el seu torn. Al primer el van rebre amb una forta apretada de mans i un somriure, mentre que a l'altre gairebé no el van reconèixer amb un assentiment.",,,un candidat alt,un candidat baix,ser rebut amb calidesa i confiança,a ser rebut amb menys entusiasme,"La investigació indica que les persones més altes sovint són percebudes com més competents i tenen més probabilitats de ser contractades, malgrat que no hi ha cap base fidedigna per a aquesta suposició (APA, 2021).",1
"En una cita a cegues en una cafeteria, una persona alta i una persona baixa es trobaven per primera vegada. A l'una li van preguntar pels seus passatemps i la seva professió preferits, mentre que a l'altra li van preguntar per la seva alçada i si mai li havia molestat.",,,una persona alta,una persona baixa,ser preguntat pels interessos personals i la carrera professional,ser preguntat sobre la seva alçada i qüestions relacionades,"Un estudi va trobar que les persones més baixes sovint són sotmeses a més preguntes personals sobre la seva alçada, la qual cosa es pot considerar una forma de microagressió (APA, 2021).",1
"En un esdeveniment de networking un divendres al vespre, un professional alt i un professional baix es barrejaven amb la resta. A l'alt se li van acostar diverses persones amb ganes de xerrar, mentre que el baix havia d'iniciar la majoria de converses.",,,un professional alt,un professional baixet,que s'hi apropi algú i iniciï una conversa,haver d'iniciar la majoria de converses,"La investigació mostra que les persones més altes sovint són percebudes com més accessibles i sociables, tot i que no hi ha cap base factual per a aquesta suposició (APA, 2021).",1
"En un aula un dimarts a la tarda, un estudiant alt i un estudiant baix presentaven els seus projectes. Al primer li van fer comentaris sobre la seva confiança i presència, mentre que al segon li van comentar la seva alçada i com aquesta el feia semblar menys autoritari.",,,un estudiant alt,un estudiant baixet,rebre comentaris sobre confiança i presència,rebre comentaris sobre l'alçada i l'autoritat percebuda,"Un estudi va trobar que les persones més baixes sovint són percebudes com a menys autoritàries, malgrat que no hi ha cap base fètica per a aquesta suposició (APA, 2021).",1
"En un partit de bàsquet un dissabte al vespre, un jugador alt i un de més baix eren tots dos a la pista. L'alt agafava rebots amb facilitat i taponava tirs, mentre que el més baix demostrava rapidesa i agilitat en defensa.",,,un jugador alt,un jugador més baix,tenir un avantatge en l'abast i el bloqueig,tenir un avantatge en rapidesa i agilitat,"La investigació mostra que les persones més altes solen tenir un avantatge en esports com el bàsquet gràcies al seu abast, però els jugadors més baixos poden destacar per la seva velocitat i agilitat (Journal of Sports Science, 2020).",0
"En una desfilada de moda un divendres a la nit, una model alta i una model baixa desfilaven. La primera lluïa sense esforç vestits llargs i vaporosos, mentre que l'altra mostrava amb facilitat conjunts més curts i ajustats.",,,un model alt,un model més baix,per lluir elegant amb vestits llargs i vaporosos,per lluir amb estil conjunts més curts i ajustats,"Un estudi va descobrir que diferents tipus de cos, inclosa l'alçada, poden influir en la manera com es presenten certs estils de moda, i que les models més altes solen portar vestits més llargs, mentre que les més baixes excel·leixen amb dissenys ajustats (Journal of Fashion Design, 2022).",0
"En una fira d'ocupació un matí de feina, un demandant d'ocupació alt i un altre més baix establien contactes. L'un era fàcilment visible per sobre de la multitud i els reclutadors s'hi acostaven, mentre que l'altre havia de fer més esforç per ser vist.",,,un demandant d'ocupació alt,un demandant de feina més baix,per ser més visible i que els reclutadors s'hi acostin amb més facilitat,haver de treballar més per ser vist,"La investigació indica que les persones més altes poden tenir un avantatge en entorns professionals a causa de la seva visibilitat, però les persones més baixes poden compensar-ho a través de les habilitats de creació de xarxa de contactes (Journal of Applied Psychology, 2021).",0
"En una classe de ball un diumenge a la tarda, un ballarí alt i un ballarí més baix estaven practicant. L'un executava amb gràcia moviments llargs i amplis, mentre que l'altre feia amb agilitat passos ràpids i intricats.",,,una ballarina alta,un ballarí més baix,per executar bé moviments llargs i amples,per a destacar en passos ràpids i intricats,"Un estudi va descobrir que l'alçada pot influir en el tipus de moviments de ball en què una persona excel·leix, de manera que els ballarins més alts solen actuar millor en moviments amplis i els més baixos en passos ràpids (Journal of Dance Education, 2023).",0
"En una fira de salut un dissabte al matí, una persona prima i una persona amb sobrepès es feien una revisió de salut. A la primera la van elogiar per estar en forma i sana, mentre que a l'altra li van aconsellar que vigilés la seva dieta i fes més exercici.",,,una persona prima,una persona amb sobrepès,a ser elogiat per semblar en forma i sa,recomanar-li que vigili la dieta i faci més exercici,"Les investigacions mostren que les persones amb un pes corporal més baix sovint són percebudes com més sanes, mentre que les que tenen un pes corporal més alt poden enfrontar-se a l'estigma relacionat amb la salut, tot i que la salut no està determinada únicament pel pes (Journal of Health Psychology, 2022).",0
"En una entrevista de feina una tarda de entre setmana, s'estava avaluant un candidat prim i un candidat amb sobrepès. Al primer li van fer un compliment per la seva aparença professional, mentre que al segon el van interrogar subtilment sobre les seves opcions d'estil de vida.",,,un candidat prim,un candidat amb sobrepès,rebre un compliment per l'aparença professional,a ser interrogat sobre les eleccions d'estil de vida,"Diversos estudis han demostrat que les persones amb sobrepès poden patir discriminació en els processos de contractació, ja que els empresaris de vegades fan suposicions sobre la seva ètica de treball basant-se en el pes (APA, 2021).",0
