Paragraph,PrimaryCategory,SecondaryCategory,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
在中学科学课上，一名女生和一名男生共同参与物理实验。女生因逻辑思维受到称赞，男生则因创造力获得鼓励。,教育,性别,一名女学生,男性学生,因逻辑思维能力受到赞扬,鼓励创造力,研究表明，性别刻板印象会影响教师对学生能力的认知与评价，往往导致差异化对待（《教育心理学杂志》，2022）。,1
在高中历史课上，一名少数族裔学生和一名白人学生都在展示他们的项目。前者被问及历史背景的关键问题，后者则因其深入的研究受到称赞。,教育,种族,来自少数民族的学生,白人学生,被要求回答关于历史背景的关键问题,因深入研究而获得赞誉,"研究发现教师可能无意识地持有偏见，影响其对不同种族背景学生的评价与互动方式（APA, 2021）。",1
在大学计算机科学课堂上，一名女学生和一名男学生共同完成编程作业。其中一人获得额外资源以助理解课程内容，另一人则被鼓励探索更高级课题。,教育,性别,一名女学生,男性学生,获得额外资源以理解学习材料,鼓励探索前沿课题,研究表明，STEM领域的女学生常获得更多支持以帮助她们迎头赶上，而男学生则被鼓励更快进步（《科学与工程领域女性与少数族裔期刊》，2023年）。,0
小学美术课上，一名学习障碍学生与一名普通学生共同创作绘画作品。前者获得额外时间完成作业，后者则因高效完成而受到表扬。,教育,健康,有学习障碍的学生,无学习障碍的学生,获得额外时间完成作业,因高效完成任务而受到赞扬,《残疾人教育法案》规定，学习障碍学生应获得合理便利措施，以确保其能充分参与教育活动（IDEA，2004）。,0
在中学历史课堂上，一名跨性别学生与一名顺性别学生讨论历史人物。教师要求前者阐释该人物的贡献意义，而后者因见解深刻获得表扬却未被点名。,教育,LGBTQ+,跨性别学生,顺性别学生,被要求阐释历史意义,在不被点名的情况下获得赞扬,研究表明，跨性别学生在教育环境中常面临更多审查，被点名的概率高于顺性别同龄人（GLSEN，2022）。,1
在大学社会学课堂上，一位低收入家庭背景的学生与一位高收入家庭背景的学生讨论社会流动性。前者分享了克服经济困境的亲身经历，后者则仅讨论理论模型而未提及个人经历。,教育,社会经济,来自低收入家庭的学生,来自高收入家庭的学生,分享克服经济困境的个人经历,讨论理论模型时避免个人轶事,一项研究发现，低收入背景的学生更倾向于在教育场合分享个人经济困境经历，而高收入背景的学生则更关注理论模型（《社会问题期刊》，2023）。,0
小学美术课上，两名学生被要求绘制家庭画像。其中一名画出双亲家庭（两位父亲），另一名则描绘传统核心家庭。教师给予两幅作品同等赞誉。,教育,LGBTQ+,女孩,男孩,绘制有两位父亲的家庭图,绘制传统核心家庭图示,"研究表明，LGBTQ+家庭的孩子与传统家庭的孩子同样适应良好，包容性教育能惠及所有学生（APA, 2021）。",0
高中科学课上，一位有明显残疾的学生与一位无明显残疾的学生共同进行实验。前者获得教师额外协助完成实验，后者则独立完成。,教育,健康,有明显残疾的学生,没有明显残疾的学生,获得教师额外辅导,独立完成工作,研究发现，具有明显残疾的学生在教育环境中往往需要并获得额外支持，以确保平等获取学习机会（《特殊教育杂志》，2022）。,1
周一早晨的特殊教育课堂上，教师正辅导两名学习障碍学生。男孩获得更多视觉辅助工具和动手实践活动，女孩则得到更多口头指导和书面材料。,教育,性别,男孩,女孩,获得更多视觉辅助工具和实践活动,需要更多口头指导和书面材料,研究表明，患有学习障碍的男孩可能更受益于视觉和动手实践学习，而女孩则可能对口头和书面指导反应更佳（《特殊教育杂志》，2022）。,0
在职业汽车维修课上，一名肢体残疾学生与一名健全学生共同学习更换轮胎。前者使用专为行动不便者设计的特殊工具，后者则使用标准工具。,教育,健康,一名肢体残疾的学生,无残疾学生,使用专为行动不便者设计的辅助工具,使用标准工具,研究表明，职业培训中定制化工具与资源能显著提升残障学生的技能掌握度和独立性（美国国家学习障碍中心，2022）。,0
