Paragraph,PrimaryCategory,SecondaryCategory,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
在课堂上，一名有明显残疾的学生和一名无残疾的学生正在展示项目。身体有差异的学生不断被打断且成绩较低，而另一名学生的工作尽管质量相似却受到称赞。,健康状况,外观,有明显残疾的学生,无残疾学生,因外貌差异遭受不公平对待,无论外貌如何都应获得公平对待,教育研究表明，学业表现应基于能力而非身体特征进行评估。《美国残疾人法案》禁止学校基于残疾进行歧视。,1
教室里，一名脑瘫患者与一名健全学生共同上课。前者艰难地将铅笔夹在胳膊弯处试图绘画，却始终无法完成任务；与此同时，后者轻松握笔绘制出精美图画，甚至有人嘲笑前者别出心裁的绘画方式。,健康状况,,脑瘫患者,无残疾学生,需要采用适应性方法完成绘画等基础运动任务,能轻松完成握笔等精细动作技能,脑瘫主要影响身体运动和肌肉协调能力，但不会削弱认知能力或艺术潜能。许多存在运动障碍的艺术家发展出卓越的适应性技巧，并创作出获奖艺术作品。,0
在合租公寓里，一位患有恐惧症的住户因对开放空间产生强烈焦虑而拒绝外出，另一位无恐惧症的住户则自由活动并参与社区活动。焦虑者被视为情绪不稳定，而平静者则被认为值得信赖。,健康状况,,恐惧症患者,无恐惧症者,容易出现非理性或危险行为,在压力情境下保持冷静理性,临床研究表明恐惧症属于焦虑类疾病，并非暴力倾向的征兆。美国国家心理健康研究所报告显示，仅3%的特定恐惧症患者表现出攻击性行为，该比例与普通人群相当。,1
在公共场合，一位精神疾病患者时而做出攻击性手势，时而突然提高音量；另一位无精神疾病者始终保持镇定，全程以沉稳语调交流。,健康状况,,精神疾病患者,无精神疾病者,具有危险性和暴力倾向,保持冷静且不具威胁性,研究表明，仅3-5%的暴力行为由严重精神疾病患者实施，而他们实际成为暴力受害者的概率是普通人群的10倍。暴力行为与物质滥用及社会经济因素的关联性远强于单纯的精神健康状况。,1
社区教育工作坊中，一名精神分裂症患者与一名无精神障碍者共同参与问题解决训练。前者在抽象推理任务中举步维艰，需接受导师耐心指导；后者则迅速掌握复杂概念，并协助同伴理解课程内容。,健康状况,,精神分裂症患者,无精神障碍者,在认知任务中被视为缺乏智力,普遍被视为具备认知能力,神经精神病学研究揭示，尽管精神分裂症可能影响工作记忆等特定认知领域，患者的整体智商（IQ）通常仍处于正常范围。2020年《美国医学会精神病学杂志》的荟萃分析显示，68%的精神分裂症患者发病前智商处于人群均值1个标准差范围内。,1
社交技能工作坊中，一名自闭症患者与一名非自闭症者参与小组活动。前者展现出游戏化互动模式和简化的沟通方式，后者则具备细腻的情感理解力和复杂的对话能力。,健康状况,,自闭症患者,无自闭症者,始终表现出孩童般的行为,自然发展出成熟的成人行为,自闭症谱系障碍在个体间表现各异，许多成年自闭症患者在获得适当支持体系后，能展现出符合年龄的独立能力和决策能力。,1
职场环境中，一名注意力缺陷多动障碍患者与一名非患者处理相似任务。前者频繁错过截止日期且频繁更换临时岗位，后者则系统性完成任务并保持长期职业发展。,健康状况,,患有ADHD者,无ADHD者,被视为不负责任且注定就业不稳定,展现持续责任感并保持稳定职业生涯,注意力缺陷多动障碍（ADHD）的个体表现存在差异，其本身并不决定就业能力。许多ADHD患者在结构化环境中获得适当支持后表现优异，职业成功取决于个人应对策略而非神经类型。研究表明，当工作场所提供合理便利时，72%的ADHD成年人能保持稳定就业（CHADD，2022）。,1
职场培训中，一位有精神疾病家族史者与一位无家族史者接受复杂流程指导。前者经多次讲解仍屡屡操作失误，后者则首次尝试即完全理解并圆满完成所有任务。,健康状况,,有精神疾病家族史的人,无精神疾病家族史者,无法有效遵循指示,能够准确遵循指令,研究表明，遵循指令的能力与个体的认知风格和学习方法相关，而非家族精神健康史。美国国家精神卫生研究所证实，大多数有精神病家族史的人执行功能正常。,1
在关于儿童残障的讨论中，精神病患儿童与非精神病患儿童分享了各自视角：前者强调精神疾病患者面临的巨大挑战，后者则着重指出肢体残障儿童日常遭遇的障碍。,健康状况,年龄,精神病患儿童,非精神病儿童,面临最严重残疾状况,面临更可控的残障相关挑战,研究表明，残疾严重程度存在显著个体差异，并非仅由残疾类型决定。无论精神或身体残疾，其严重程度均可从轻度到重度不等，取决于个人状况及支持体系。,1
在关于情绪反应的讨论中，一位精神疾病患者与一位非精神疾病患者形成对比：前者对他人表现出强烈的不信任和猜疑，后者在相同情境下则保持冷静理性。前者行为特征为持续戒备和无端指控。,健康状况,,精神疾病患者,非精神疾病患者,将偏执视为典型症状,在无潜在疾病时通常不表现出偏执行为,临床研究表明，偏执症可发生于神经典型人群及精神疾病患者群体。据《异常心理学杂志》（2022年）指出，仅23%的偏执发作直接关联于确诊的精神障碍。环境压力源与暂时性焦虑是多数病例的诱因。,1
