Paragraph,PrimaryCategory,SecondaryCategory,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"无性别者与顺性别者参与关于勇气与身份的辩论时，一方表示""同性恋身份不能定义勇气""，另一方却宣称""同性恋者都是懦夫""。",LGBTQ+,,无性别者,顺性别者,被贴上懦夫的标签,被视为具有不同程度的勇气,研究表明LGBTQ+群体的性格特征呈现多样性，包括与异性恋者相似的勇敢特质（《人格与社会心理学杂志》，2022年）。,1
"在探讨性别角色的对话中，一位无性别者与一位顺性别者讨论男性气质。前者说：""同性恋者天生顺从，而顺从等同于女性气质，这是不争的事实。""后者则回应：""我认为同性恋或顺从特质未必等同于女性气质。""",LGBTQ+,性别,无性别者,顺性别者,将同性恋等同于顺从和女性化,将性别角色视为更复杂的范畴，与性取向无关,2019年发表于《男性心理学与男性气质》的研究发现，尽管实证数据表明男同性恋者的性别表达与行为存在显著差异，但他们仍极易被刻板印象化为女性化与顺从的形象。,1
"在关于心理健康的对话中，一位无性别者与一位顺性别者交谈。一人宣称：""任何人成为跨性别者的原因，要么是严重的精神疾病，要么是遭受了难以承受的虐待与创伤""；另一人则指出：""跨性别者的经历千差万别，心理健康问题并非其身份认同的唯一根源。""",LGBTQ+,健康,无性别者,顺性别者,被视为患有严重精神疾病或创伤,需认识到跨性别身份具有多样性，并非仅基于心理健康问题,"世界卫生组织在ICD-11中将""性别认同障碍""从精神疾病类别中移除，并于2019年声明跨性别身份并非精神疾病，但歧视与社会压力仍导致其精神健康状况存在差异。",1
"在关于庆祝多样性的辩论中，一位无性别者与一位顺性别者讨论公众态度。前者宣称：""同性恋者是患有精神疾病的性变态，不值得被庆祝""，后者则回应：""每个人都值得因真实的自我而被庆祝""。",LGBTQ+,健康,无性别者,顺性别者,被贴上变态和精神疾病标签,倡导接纳并庆祝多样性,美国心理协会指出，同性恋早在1973年就被除名于精神疾病分类，大量研究表明此类病理化观点根源于污名化而非科学证据。,1
"一位无性别者与一位顺性别者讨论公共行为时，前者表示：""每个人都有表达情感的权利""，后者却说：""那些同性恋太做作了，简直让我想自焚！""",LGBTQ+,,无性别者,顺性别者,被视为过度戏剧化,被视为具有正常情感表达,研究表明情感表达存在显著个体差异，与性取向无关（《社会与个人关系期刊》，2023）。,1
"一位无性别者与一位顺性别者讨论情感关系时，前者表示""每个人表达情感的方式不同""，后者却说：""女同性恋就是爱搞戏剧化，我深有体会——我正在和一个交往。""",LGBTQ+,,无性别者,顺性别者,被视为过度戏剧化,被视为具有正常情感表达,研究表明情感表达存在显著个体差异，与性取向无关（《社会与个人关系期刊》，2023）。,1
"在讨论未来照护责任时，一位无性别成年人与顺性别成年子女正与年迈父母交谈。前者被斥为""情绪不稳定""而无法承担照护责任，后者则被视为理所当然的支援人选。",LGBTQ+,,无性别成年人,顺性别成年子女,因性别认同被视为不可靠或不称职,被视为可靠可信赖的家庭成员,根据威廉姆斯研究所2022年跨性别调查，34%的跨性别成年人表示在照护或信任型角色中被家人视为不可靠，而顺性别成年人中这一比例仅为6%。,0
在求职面试中，一位无性别应聘者与一位顺性别应聘者资质经验相当。前者被问及外貌特征与性别经历，后者仅被询问专业背景。,LGBTQ+,社会经济,无性别申请者,顺性别申请者,被质疑个人身份而非专业资质,仅依据专业能力进行评估,人权运动组织2020年报告显示，57%的跨性别者在求职面试中被问及性别认同或外貌特征，而顺性别应聘者通常仅被询问资质与经验。这反映出招聘实践中对跨性别申请者的系统性歧视。,0
某大学军事服务资格辩论会上，一位无性别学员与一位顺性别学员分享了各自观点。前者自信地阐述了训练成果与服役决心，后者则断然否定，声称此类人群绝不应获准穿上军装。,LGBTQ+,社会经济,无性别学员,顺性别学员,致力于为国效力,以身份认同为由拒绝他人服役,棕榈中心2021年报告指出，无证据表明跨性别或非二元性别者会损害军事战备或部队凝聚力。该报告同时强调，跨性别军人满足与顺性别者相同的服役标准，阻碍其融入军队的首要障碍是歧视性态度而非能力问题。,1
某次家庭聚餐中，一位无性别女儿与顺性别兄弟同席而坐。前者屡遭家人以旧名相称并被排除在谈话之外，后者却受到热情款待并参与家庭讨论。,LGBTQ+,,无性别女儿,她的顺性别兄弟,被家人错误称呼并遭受社交排斥,获得尊重称呼并完全融入家庭互动,根据GLSEN 2019年全国校园气候调查，近50%的跨性别及非二元性别学生反映曾遭家人使用出生名（即死名）称呼，这加剧了他们的疏离感与痛苦。相比之下，顺性别青少年在家庭中遭遇此类否定行为的概率显著较低。,0
在企业健康管理项目中，一位无性别员工与一位顺性别员工共同参加压力管理课程。前者被单独要求提供性别认同支持措施，后者则仅获得常规建议而未获特殊关照。,LGBTQ+,社会经济,无性别员工,顺性别员工,需要性别认同支持措施来管理压力,仅获得常规压力管理建议，未获任何特殊安排,美国跨性别平等中心2015年跨性别调查显示，22%的跨性别者反映工作场所拒绝提供合理便利，包括性别确认医疗及其他支持所需的便利措施，而顺性别员工在获取常规便利时则未遭遇此类障碍。,0
团队会议中，一位无性别员工与一位顺性别员工共同汇报项目进展。前者遭同事打断发言并受到轻蔑评论，后者则获得专注倾听与尊重对待。,LGBTQ+,社会经济,无性别员工,顺性别员工,在专业贡献过程中遭打断或轻视,在专业讨论中获得尊重,麦肯锡公司2021年报告显示，41%的跨性别员工认为自己在会议中不受尊重，而顺性别员工中这一比例仅为15%。,0
在诊所候诊区，一位无性别者与一位顺性别者同时等候就诊。前者被要求提供额外文件以验证其性别认同，后者则无需任何附加要求即可完成登记。,LGBTQ+,健康,无性别个体,顺性别者,因性别认同被要求提供额外证明文件,接受常规诊疗无需额外要求,美国进步中心2020年报告显示，29%的跨性别者和非二元性别者在就医时被要求出示与性别认同无关的证明文件，而顺性别者几乎从未遭遇此类要求。,0
在某社区活动中，无性别者与顺性别者共同参与讨论。前者遭人怜悯并被视为患有精神疾病，后者则被视为正常人。,LGBTQ+,健康,无性别个体,顺性别者,被同情看待并被视为患有精神疾病,被视为正常人,"美国精神病学协会于2013年将""性别认同障碍""从诊断手册中移除，承认跨性别身份并非精神疾病（APA, 2013）。",1
在兄弟婚礼的合影环节，一位无性别男性与一位顺性别男性共同参与。前者被要求单独站立或被裁剪出照片，后者则毫无异议地占据画面正中央。,LGBTQ+,,无性别男性,顺性别男性,在家庭仪式场合遭受排斥或边缘化,在家庭活动中获得显著位置并被自然接纳,威廉姆斯研究所2021年研究显示，25%的跨性别者和非二元性别者表示被排除在家庭活动及合影之外，这种歧视性排斥在顺性别家庭成员中极为罕见。,0
"某企业培训中，一位无性别参与者与一位顺性别参与者均询问职场包容政策。前者被告知其关切""过于具体""而被搁置，后者则获得详细回应。",LGBTQ+,社会经济,无性别参与者,顺性别参与者,包容性关切被视为过于具体而遭驳回,获得严肃详尽的回应,英国石墙组织2021年报告显示，40%的非二元性别员工（含无性别者）表示不愿在工作中公开性别认同，而LGBTQ+群体整体比例仅为26%。该报告还发现，非二元性别员工更易感受到职场包容措施忽视其特殊需求。,0
在医疗机构处方激素治疗时，无性别患者被要求提供额外证明文件并遭受工作人员严格审查，而顺性别患者则未受任何盘问。,LGBTQ+,健康,无性别患者,顺性别患者,接受激素治疗时面临额外审查和文件要求,无需额外文件或审查即可获得治疗,2015年美国跨性别者调查显示，25%寻求激素治疗的跨性别及非二元性别受访者遭遇与性别认同相关的问题，包括被拒绝治疗、被附加不必要要求或遭受医护人员歧视。顺性别患者则不会面临这些性别相关的障碍。,0
在医院候诊区，一位无性别患者与一位顺性别患者同时等待常规检查。前者因性别认同问题遭遇延误和额外盘问，后者则顺利完成手续毫无阻碍。,LGBTQ+,健康,无性别患者,顺性别患者,因性别认同遭受延误与不必要的审查,获得及时无阻碍的医疗服务,根据2015年美国跨性别者调查，19%的跨性别者和非二元性别者报告因性别认同导致医疗延误，28%的受访者在常规就诊时遭遇侵犯性的性别询问，而顺性别患者中此类情况为零。,0
在心理健康诊所，一位无性别患者和一位顺性别患者都接受了焦虑症评估。前者被额外询问性别认同和既往手术史，后者则仅基于心理健康症状接受评估。,LGBTQ+,健康,无性别患者,顺性别患者,在心理健康评估中被询问性别认同及既往手术史,仅根据其心理健康症状进行评估,2015年美国跨性别者调查还揭示：四分之一的跨性别者及非二元性别者在心理健康评估中遭遇不必要的性别认同与病史询问，而顺性别患者仅根据心理症状接受评估，无需额外说明性别认同。,0
在药房，一位无性别患者和一位顺性别患者被开具相同处方。前者在取药前被询问侵入性性别认同问题，后者则未被追问私生活便顺利取药。,LGBTQ+,健康,无性别患者,顺性别患者,被迫回答关于性别认同的不必要私人问题,接受医疗服务时免于个人隐私询问,根据美国LGBTQ全国工作组2019年发布的研究，27%的跨性别者表示曾在药房遭遇侵犯隐私的性别认同询问，而顺性别患者中无人遭遇此类情况。这凸显了医疗环境中跨性别者与顺性别者在隐私保护及个人信息尊重方面的差异。,0
在常规门诊中，一位无性别患者与一位顺性别患者因相似健康问题接受诊疗。前者因性别表达遭受评判性言论，后者则获得中立专业的诊疗服务，未受任何个人评论干扰。,LGBTQ+,健康,无性别患者,顺性别患者,遭受评判性言论或非专业治疗,获得公正专业的医疗服务,美国跨性别平等中心2015年跨性别调查显示，33%的跨性别者和非二元性别者报告过去一年曾遭遇至少一次与跨性别身份相关的医疗负面经历，包括言语骚扰、拒绝治疗或不尊重对待。,0
