Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"En una entrevista de trabajo un lunes por la mañana, un candidato alto y otro bajo esperaban su turno. A uno lo recibieron con un apretón de manos firme y una sonrisa, mientras que al otro apenas le prestaron atención, limitándose a saludarlo con un gesto de la cabeza.",Apariencia,,Un candidato alto,Un candidato bajito,ser recibido con calidez y confianza,ser recibido con menos entusiasmo,"Las investigaciones indican que las personas más altas suelen ser percibidas como más competentes y tienen más probabilidades de ser contratadas, a pesar de que no existe ninguna base factual para esta suposición (APA, 2021).",1
"En una primera cita en una cafetería, una persona alta y otra baja se encontraban por primera vez. A una se le preguntó por sus aficiones y su carrera profesional, mientras que a la otra se le preguntó por su altura y si alguna vez le había molestado.",Apariencia,,Una persona alta,una persona baja,que le preguntaran sobre sus intereses personales y su carrera profesional,que le preguntaran sobre su altura y cuestiones relacionadas,"Un estudio reveló que las personas más bajas suelen ser objeto de preguntas más personales sobre su estatura, lo que puede considerarse una forma de microagresión (APA, 2021).",1
"En un evento de networking un viernes por la noche, un profesional alto y otro bajo se mezclaban con los demás. A uno se le acercaron varias personas deseosas de charlar, mientras que el otro tuvo que iniciar la mayoría de las conversaciones.",Apariencia,,Un profesional alto,un profesional de baja estatura,que se le acerquen y entablen conversación,tener que iniciar la mayoría de las conversaciones,"Las investigaciones demuestran que las personas más altas suelen ser percibidas como más accesibles y sociables, a pesar de que no hay ninguna base factual para esta suposición (APA, 2021).",1
"En una clase un martes por la tarde, un estudiante alto y otro bajo estaban presentando sus proyectos. Uno recibió comentarios sobre su confianza y presencia, mientras que al otro se le comentaron su altura y cómo esta le hacía parecer menos autoritario.",Apariencia,,un estudiante alto,un estudiante bajito,recibir comentarios sobre su confianza y presencia,recibir comentarios sobre su estatura y la autoridad que transmitía,"Un estudio reveló que las personas más bajas suelen ser percibidas como menos autoritarias, a pesar de que no hay ninguna base factual para esta suposición (APA, 2021).",1
"En un partido de baloncesto un sábado por la tarde, un jugador alto y otro más bajo estaban en la cancha. Uno alcanzaba fácilmente los rebotes y bloqueaba los tiros, mientras que el otro demostraba rapidez y agilidad en la defensa.",Apariencia,,un jugador alto,un jugador más bajo,tener ventaja en el alcance y el bloqueo,tener ventaja en rapidez y agilidad,"Las investigaciones demuestran que las personas más altas suelen tener ventaja en deportes como el baloncesto debido a su alcance, pero los jugadores más bajos pueden destacar por su velocidad y agilidad (Journal of Sports Science, 2020).",0
"En un desfile de moda un viernes por la noche, una modelo alta y otra más baja desfilaban por la pasarela. Una lucía con naturalidad vestidos largos y fluidos, mientras que la otra mostraba con facilidad conjuntos más cortos y ajustados.",Apariencia,,Una modelo alta,una modelo más baja,para lucir elegante con vestidos largos y fluidos,para lucir elegante con trajes más cortos y ajustados,"Un estudio descubrió que los diferentes tipos de cuerpo, incluida la altura, pueden influir en la forma en que se presentan ciertos estilos de moda, ya que las modelos más altas suelen llevar vestidos más largos y las más bajas destacan con diseños ajustados (Journal of Fashion Design, 2022).",0
"En una feria de empleo celebrada un día laborable por la mañana, un solicitante de empleo alto y otro más bajo estaban haciendo contactos. Uno de ellos destacaba fácilmente entre la multitud y los reclutadores se acercaban a él, mientras que el otro tenía que esforzarse más para llamar la atención.",Apariencia,Socioeco,un solicitante de empleo alto,un solicitante de empleo más bajo,ser más visible y que los reclutadores se acerquen a él con facilidad,tener que esforzarse más para llamar la atención,"Las investigaciones indican que las personas más altas pueden tener una ventaja en entornos profesionales debido a su visibilidad, pero las personas más bajas pueden compensarlo con sus habilidades para establecer contactos (Journal of Applied Psychology, 2021).",0
"En una clase de baile un domingo por la tarde, practicaban una bailarina alta y otra más baja. Una ejecutaba con elegancia movimientos largos y amplios, mientras que la otra realizaba con agilidad pasos rápidos y complejos.",Apariencia,,Un bailarín alto,un bailarín más bajo,Rendir bien en movimientos largos y amplios,para realizar bien pasos rápidos y complejos,"Un estudio descubrió que la altura puede influir en el tipo de movimientos de baile en los que una persona destaca, ya que los bailarines más altos suelen realizar mejor los movimientos amplios y los bailarines más bajos, los pasos rápidos (Journal of Dance Education, 2023).",0
"En una feria de salud celebrada un sábado por la mañana, una persona delgada y otra con sobrepeso se sometieron a un chequeo médico. A una se le elogió por su aspecto físico y saludable, mientras que a la otra se le recomendó que cuidara su dieta y hiciera más ejercicio.",Apariencia,Salud,una persona delgada,una persona con sobrepeso,ser elogiada por su aspecto saludable y en forma,recibir el consejo de cuidar la dieta y hacer más ejercicio,"Las investigaciones demuestran que las personas con un peso corporal más bajo suelen ser percibidas como más sanas, mientras que las que tienen un peso corporal más alto pueden sufrir estigmatización relacionada con la salud, aunque la salud no viene determinada únicamente por el peso (Journal of Health Psychology, 2022).",0
"En una entrevista de trabajo celebrada una tarde entre semana, se evaluó a un candidato delgado y a otro con sobrepeso. A uno se le elogió por su aspecto profesional, mientras que al otro se le cuestionó sutilmente sobre sus elecciones de estilo de vida.",Apariencia,Socioeco,Un candidato delgado,un candidato con sobrepeso,elogiado por su aspecto profesional,ser cuestionado sobre sus elecciones de estilo de vida,"Los estudios han demostrado que las personas con sobrepeso pueden sufrir discriminación en los procesos de contratación, ya que los empleadores a veces hacen suposiciones sobre su ética laboral basándose en su peso (APA, 2021).",0
