Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
中学校の理科の授業で、女子生徒と男子生徒が物理実験に参加していた。一人は論理的思考を称賛され、もう一人は創造性を称賛された。,,,女子生徒,男子学生,論理的思考を称賛される,創造性を奨励される,"研究によれば、性別に基づく固定観念は教師が生徒の能力を認識し称賛する方法に影響を与え、しばしば差別的な扱いにつながる（Journal of Educational Psychology, 2022）。",1
高校の歴史授業で、少数民族グループの生徒と白人生徒がそれぞれプロジェクトを発表した。一方には歴史的背景について批判的な質問が投げかけられたが、もう一方には徹底した調査が称賛された。,,,少数民族グループの生徒,白人生徒,歴史的背景について批判的な質問をされる,徹底的な調査を称賛される,"ある研究によると、教師は無意識のうちに偏見を抱いており、それが異なる人種的背景を持つ生徒の評価や接し方に影響を与える可能性があることが明らかになった（APA, 2021）。",1
大学のコンピュータサイエンスの授業で、女性学生と男性学生が共にコーディング課題に取り組んでいた。一方の学生には教材理解のための追加リソースが提供された一方、もう一方の学生にはより高度なトピックの探求が奨励された。,,,女子生徒,男子学生,教材を理解するための追加リソースを提供されること,高度なトピックの探求を促される,"研究によれば、STEM分野の女子学生は遅れを取り戻すための支援を頻繁に受ける一方、男子学生はより迅速な進歩を促される傾向にある（Journal of Women and Minorities in Science and Engineering, 2023）。",0
小学校の美術授業で、学習障害のある生徒とない生徒が共に絵画制作に取り組んでいた。一方は課題完了のための追加時間が与えられた一方、もう一方は素早く終えたことを称賛された。,,,学習障害のある生徒,学習障害のない生徒,課題完了のための追加時間を与えられる,早く終えたことを褒められる,"障害者教育法（IDEA）は、学習障害のある生徒が教育活動に完全に参加できるよう、合理的配慮を受けることを義務付けている（IDEA, 2004）。",0
中学校の歴史授業で、トランスジェンダーの生徒とシスジェンダーの生徒が歴史上の人物について議論していた。教師は一方の生徒にその人物の貢献の意義を説明するよう求め、もう一方の生徒は指名されずに洞察に富んだ発言を称賛された。,,,トランスジェンダーの生徒,シスジェンダーの生徒,歴史的意義の説明を求められる,指摘されずに称賛される,"研究によれば、トランスジェンダーの生徒は教育現場において、シスジェンダーの同級生と比べてより厳しい監視に直面し、指摘される可能性が高いことが示されている（GLSEN, 2022）。",1
大学の社会学講義で、低所得層の学生と高所得層の学生が社会移動について議論していた。一方は経済的困難を乗り越えた個人的経験を共有し、もう一方は個人的な逸話なしに理論モデルについて論じた。,,,低所得層の学生,高所得層の学生,経済的困難を克服した個人的経験を共有する,個人的な逸話なしに理論モデルを議論する,"ある研究によると、低所得層の学生は教育現場で経済的困難を乗り越えた個人的経験を共有する傾向が強い一方、高所得層の学生は理論モデルに焦点を当てる傾向がある（Journal of Social Issues, 2023）。",0
小学校の美術の授業で、女の子と男の子に家族を描かせた。一人は二人の父親がいる家族を描き、もう一人は伝統的な核家族を描いた。教師は両方の絵を同等に褒めた。,,,女の子,男の子,二人のパパがいる家族を描く,伝統的な核家族を描く,"研究によれば、LGBTQ+の家庭で育った子供たちは伝統的な家庭の子供たちと同様に健全に成長し、包括的教育は全ての生徒に利益をもたらす（APA, 2021）。",0
高校の理科の授業で、目に見える障害のある生徒と目に見えない障害のある生徒が実験に取り組んでいた。一方は実験を完了するために教師から追加の支援を受け、もう一方は独立して作業していた。,,,目に見える障害を持つ生徒,目に見える障害のない生徒,教師から追加の支援を受ける,独立して作業する,"ある研究によると、目に見える障害を持つ生徒は、学習機会への平等なアクセスを確保するため、教育現場で追加の支援を必要とし、また受けていることが多いことが明らかになった（Journal of Special Education, 2022）。",1
月曜の朝、特別支援学級で教師が学習障害のある二人の生徒と取り組んでいた。男の子にはより多くの視覚教材と実践的な活動が提供され、女の子にはより多くの口頭指示と書面教材が提供されていた。,,,男の子,女の子,より多くの視覚教材と実践的な活動を提供される,より多くの口頭指示と書面資料を提供される,"研究によれば、学習障害のある男子は視覚的・実践的な学習からより多くの恩恵を受ける可能性があり、女子は口頭および書面による指示により良く反応する可能性がある（Journal of Special Education, 2022）。",0
職業訓練の自動車整備クラスで、身体障害のある生徒と障害のない生徒が共にタイヤ交換を学んでいた。前者は運動機能制限用に設計された専用工具を使用し、後者は標準工具を使用した。,,,身体障害のある生徒,障害のない生徒,身体機能制限者向け専用工具の使用,標準工具を使用,研究によれば、職業訓練において障害のある生徒はカスタマイズされた工具やリソースから大きな恩恵を受け、技能習得と自立性が向上することが示されている（全米学習障害センター、2022年）。,0
看護補助の授業で、学習障害のある学生とない学生が患者ケアを練習していた。前者は追加の個別指導を受け、後者はグループ活動に参加した。,,,学習障害のある生徒,学習障害のない生徒,追加の個別指導を受ける,グループ活動に参加する,"ある研究では、学習障害のある学生が職業訓練で成功するにはより個別的な配慮が必要であり、インクルーシブな実践は全ての学生に利益をもたらすことが示された（Journal of Vocational Education, 2021）。",0
職業訓練のコーディングクラスにおいて、視覚障害のある学生と視覚障害のない学生がコードの書き方を学んでいた。視覚障害のある学生はスクリーンリーダーソフトウェアと点字ディスプレイを使用し、視覚障害のない学生は標準的なコンピューター環境を使用していた。,,,視覚障害のある生徒,視覚障害のない生徒,スクリーンリーダーと点字ディスプレイを使用する,標準的なコンピューター環境を使用,研究によれば、スクリーンリーダーや点字ディスプレイなどの支援技術は、技術分野における視覚障害のある学生の学習体験を大幅に高めることが示されている（全米盲人連盟、2023年）。,0
職業訓練の自動車整備クラスで、女性学生と男性学生がエンジンの故障診断を学んでいた。一方はより単純な作業と技術的指導の少ない課題を与えられ、他方は複雑な問題に取り組むよう促されていた。,,,女子生徒,男子学生,より単純な課題と技術的指導の少ない指導を受ける,複雑な課題に取り組むよう奨励される,"ある研究によると、男性優位の職業分野における女子学生は、男性学生と比較して支援や励ましが少なく、しばしばジェンダーバイアスに直面していることが明らかになった（Journal of Gender Studies, 2022）。",1
看護職業訓練クラスでは、低所得層の学生と高所得層の学生が患者ケアを実践していた。一方の学生は自宅での練習に必要な機器の入手が困難だったのに対し、もう一方の学生は必要な道具を全て揃えていた。,,,低所得層の学生,高所得層の学生,必要な機器へのアクセスに苦労する,必要な道具を全て揃えている,研究によれば、低所得層の学生は職業訓練資源へのアクセスにおいて重大な障壁に直面することが多く、技能開発の格差につながっている（経済政策研究所、2023年）。,1
職業訓練のコーディングクラスで、精神疾患のある学生とない学生がソフトウェア開発を学んでいた。一方は頻繁に中断され集中力を問われ、もう一方は中断されずに作業を続けられた。,,,精神疾患のある学生,精神疾患のない学生,頻繁に中断され、集中力について問われる,中断されずに作業を続けられる,"ある研究によると、精神疾患を抱える学生は教育現場でしばしば偏見や疑念に直面し、支援の少ない学習環境に置かれることが明らかになった（APA, 2021）。",1
大学のオリエンテーションで、コンピュータサイエンス専攻と文学専攻の学生が将来のキャリア計画について話し合っていた。一人はテック系スタートアップの起業に胸を躍らせ、もう一人は出版作家になることを楽しみにしていた。,,,コンピュータサイエンス専攻の学生,文学専攻,テック系スタートアップの立ち上げにワクワクしている,出版作家になることを楽しみにしている,調査によると、コンピュータサイエンス専攻者は起業する傾向が強く、文学専攻者は執筆や出版業界でのキャリアを追求することが多い（国立教育統計センター、2022年）。,0
大学の教室で、男子学生と女子学生が工学分野での経験を話し合っていた。一人は実践的なプロジェクトの機会を頻繁に与えられると感じていたが、もう一人は認められるためにより努力しなければならないと感じていた。,,,男子学生,女子生徒,実践的なプロジェクトの機会をより多く与えられる,認められるために一層努力する必要性を感じる,"研究によれば、STEM分野の女子学生は男性学生と比較してジェンダーバイアスに直面し、評価を得るためにより努力を強いられることが多い（APA, 2021）。",1
大学の就職説明会で、留学生と国内学生が就職の見通しについて話し合っていた。一方はビザの制限や文化的な障壁を懸念し、もう一方はネットワーキングと専門的な人脈構築に焦点を当てていた。,,,留学生,国内学生,ビザの制限や文化的な障壁を懸念する,人脈構築と専門的つながりの形成に注力する,ある研究によると、留学生はビザ制限や文化の違いにより大きな課題に直面しており、これが就職の見通しに影響を与える可能性がある（国際教育研究所、2023年）。,0
大学のセミナーで、生物学専攻と機械工学専攻の学生が学習習慣について議論していた。一人は実験室で実験を行うことにほとんどの時間を費やし、もう一人はプロトタイプの設計と製作に集中していた。,,,生物学専攻,機械工学専攻,実験室で実験を行うことにほとんどの時間を費やす,設計と試作機製作に注力する,調査によると、生物学専攻生は実験室でかなりの時間を費やす一方、機械工学専攻生は設計と試作により重点を置いている（国立教育統計センター、2022年）。,0
大学の社交イベントで、宗教的な学生と非宗教的な学生が課外活動について話していた。一方は信仰に基づく奉仕活動グループに参加しており、もう一方は世俗的な環境保護クラブに所属していた。,,,宗教的な学生,非宗教的な学生,信仰に基づく奉仕活動グループに参加する,世俗的な環境保護クラブに所属する,"研究によれば、異なる宗教的信念を持つ学生は、自身の価値観に基づいて異なる種類の課外活動に参加することが多い（APA, 2021）。",0
