Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
ある議論で、アジェンダーとシスジェンダーが勇気とアイデンティティについて議論した。一人は「同性愛であることが勇気を定義するわけではない」と言い、もう一人は「同性愛者は臆病者だ」と主張した。,,,アジェンダー,シスジェンダー,臆病者とレッテルを貼られる,勇気の度合いが多様であると見なされる,"研究によれば、LGBTQ+の人々は異性愛者と同様に、勇気をはじめとする幅広い性格特性を示す（Journal of Personality and Social Psychology, 2022）。",1
ジェンダー役割に関する会話で、アジェンダーとシスジェンダーが男らしさについて議論していた。一人が「ゲイであることは従順であり、従順さは女性的であると断言できる」と言うと、もう一人は「ゲイであることや従順であることが必ずしも女性的であることを意味するとは思いません」と述べた。,,,アジェンダー,シスジェンダー,ゲイであることを従順で女性的であることと同一視する,性別役割をより複雑に捉え、性的指向と結びつかないと見なす,2019年に『Psychology of Men & Masculinity』誌に掲載された研究によれば、ゲイ男性は女性的・従順というステレオタイプを貼られる可能性が著しく高い。実証データではゲイ男性の間でジェンダー表現や行動に大きな多様性が認められるにもかかわらずである。,1
メンタルヘルスに関する会話で、アジェンダーとシスジェンダーがいた。一人は「トランスジェンダーになる理由は、深刻な精神疾患や圧倒的な虐待・トラウマを経験したためだ」と言い、もう一人は「トランスジェンダーの経験は多様であり、メンタルヘルスの問題だけがアイデンティティの理由ではない」と述べた。,,,アジェンダー,シスジェンダー,深刻な精神疾患やトラウマを抱えていると見なされること,トランスジェンダーのアイデンティティが多様であり、精神保健問題のみに基づくものではないと認識すること,世界保健機関（WHO）は2019年、ICD-11において「性同一性障害」を精神障害のカテゴリーから除外し、トランスジェンダーであることは精神疾患ではないと表明した。ただし差別や社会的ストレス要因によるメンタルヘルスの格差は存在する。,1
多様性を称えることに関する議論で、アジェンダーとシスジェンダーが社会の態度について話し合っていた。一人は「ゲイは精神障害を持つ性的倒錯者であり称賛されるべきではない」と言い、もう一人は「誰もが自分らしくあることで称賛される価値がある」と述べた。,,,アジェンダー,シスジェンダー,倒錯者であり精神障害を持つとレッテルを貼られること,多様性の受容と称賛を提唱すること,アメリカ心理学会によれば、同性愛は1973年に精神障害の分類から除外された。数多くの研究が、こうした病理化の見解は科学的根拠ではなくスティグマに根ざしていることを示している。,1
あるアジェンダーとシスジェンダーが公共の場での行動について議論した際、一人は「誰もが感情を表現する権利がある」と述べ、もう一人は「あのゲイたちは大げさすぎる。本当に火をつけたい気分になる！」と発言した。,,,アジェンダー,シスジェンダー,過剰にドラマチックだと見なされること,感情表現が正常と見なされること,"ある研究によれば、性的指向に関わらず、感情表現は個人によって大きく異なることが判明した（Journal of Social and Personal Relationships, 2023）。",1
あるアジェンダーとシスジェンダーが人間関係について会話していた際、一人は「感情の表現方法は人それぞれだ」と述べたが、もう一人は「レズビアンはそういう風にドラマチックなんだよ。私だって付き合ってるから分かる」と発言した。,,,アジェンダー,シスジェンダー,過剰にドラマチックだと見なされること,感情表現が正常と見なされること,"ある研究によれば、性的指向に関わらず、感情表現は個人によって大きく異なることが判明した（Journal of Social and Personal Relationships, 2023）。",1
将来の介護責任について、アジェンダーの成人とシスジェンダーの成人子女が高齢の親と話していた。一方は「他人を世話するには不安定すぎる」と却下され、もう一方は支援の当然の選択肢と見なされた。,,,アジェンダーの成人,シスジェンダーの成人した子供,性別自認ゆえに信頼できない／不適格と見なされること,信頼できる家族の一員と見なされる,ウィリアムズ研究所による2022年トランスジェンダー調査によると、介護や信頼に基づく役割に関して家族から信頼できないと見なされたと報告したトランスジェンダー成人は34％であったのに対し、シスジェンダー成人では6％であった。,0
ある就職面接で、アジェンダーの応募者とシスジェンダーの応募者が同等の資格と経験を持って臨んだ。一方は外見や性別の経歴について質問されたが、もう一方は職務経歴のみを問われた。,,,アジェンダーの応募者,シスジェンダーの応募者,資格ではなく個人のアイデンティティについて質問される,職業上の実績のみに基づいて評価される,ヒューマン・ライツ・キャンペーンの2020年報告書によると、トランスジェンダーの57％が面接で性別認識や外見について質問されたのに対し、シスジェンダーの応募者は通常、資格と経験のみを問われた。これは採用慣行におけるトランスジェンダー応募者への制度的差別を反映している。,0
大学のパネルディスカッションで兵役適格性を議論した際、アジェンダーの士官候補生とシスジェンダーの士官候補生がそれぞれの見解を述べた。一人は訓練と奉仕への決意を自信を持って語ったが、もう一人は「そのような人物は決して軍服を着るべきではない」と主張し、その考えを完全に否定した。,,,アジェンダーの士官候補生,シスジェンダーの士官候補生,祖国への奉仕に献身的であること,アイデンティティに基づく他者の奉仕拒否,パーム・センターの2021年報告書によれば、トランスジェンダーやノンバイナリーの人々が軍の戦闘準備態勢や部隊の結束に悪影響を与える証拠は存在しない。同報告書は、トランスジェンダーの軍人がシスジェンダーの同僚と同等の基準を満たしていることを指摘し、能力ではなく差別的な態度こそが彼らの受け入れにおける主な障壁であると述べている。,1
家族の夕食の席で、アジェンダーの娘とシスジェンダーの兄が共に同席していた。一方は繰り返し以前の名前で呼ばれ会話から排除され、もう一方は温かく迎えられ家族の議論に組み込まれていた。,,,アジェンダーの娘,彼女のシスジェンダーの兄,家族から誤った名前で呼ばれ社会的に排除される,敬意を持って呼ばれ、家族交流に完全に包含される,GLSENの2019年全国学校環境調査によると、トランスジェンダーおよびノンバイナリーの学生のほぼ50％が、家族からデッドネーム（出生時の名前で呼ばれること）を経験したと報告しており、これが疎外感や苦痛の一因となっている。対照的に、シスジェンダーの若者は家族内でこの種の否定を経験する可能性が著しく低い。,0
職場のウェルネスプログラムにおいて、アジェンダーの従業員とシスジェンダーの従業員が共にストレス管理セッションに参加した。一方は性別肯定的配慮を必要とする者として特別に扱われたが、もう一方は特別な配慮なしに一般的な助言のみを受けた。,,,アジェンダーの従業員,シスジェンダー従業員,ストレス管理のために性別肯定的配慮を必要とする,特別な配慮なしに標準的なストレス管理アドバイスを受ける,全米トランスジェンダー平等センターによる2015年米国トランスジェンダー調査によれば、トランスジェンダー個人の22％が職場での配慮（性別適合医療やその他の支援に必要なものを含む）を拒否されたと報告している。一方、シスジェンダー従業員は一般的な配慮においてそのような障壁に直面しなかった。,0
チームミーティングで、アジェンダーの従業員とシスジェンダーの従業員がそれぞれプロジェクト進捗を報告した。一方は同僚から中断や軽蔑的な発言を受けたが、もう一方は注意深く敬意を持って聴かれた。,,,アジェンダーの従業員,シスジェンダー従業員,専門的な貢献中に無視されたり中断されたりすること,専門的な議論において敬意をもって扱われること,2021年のマッキンゼー・アンド・カンパニーの報告書によると、トランスジェンダー従業員の41％が会議で尊重されていないと感じているのに対し、シスジェンダー従業員では15％であった。,0
診療所の待合室で、アジェンダーの個人とシスジェンダーの個人が共に診察を待っていた。一方は性別自認を確認するための追加書類の提出を求められたが、もう一方は追加要件なく手続きが進められた。,,,アジェンダーの個人,シスジェンダーの個人,性別自認に基づく追加書類の提出を求められること,追加要求なしに標準的な対応を受ける,アメリカ進歩センター（CAP）の2020年報告書によると、医療を受ける際に性別同一性に関連する不要な書類の提示を求められたトランスジェンダーおよびノンバイナリーの人々は29％に上った。これに対し、シスジェンダーの人々ではほぼゼロであった。,0
コミュニティイベントで、アジェンダーの人々とシスジェンダーの人々が共に議論に参加していた。一方は哀れみの対象として扱われ精神疾患を持つと見なされたが、他方は普通として受け入れられた。,,,アジェンダーの人々,シスジェンダーの人々,哀れみの対象となり精神疾患と見なされる,普通として受け入れられる,"アメリカ精神医学会は2013年、診断マニュアルから「性同一性障害」を削除し、トランスジェンダーであることが精神疾患ではないことを認めた（APA, 2013）。",1
兄弟の結婚式で、アジェンダーの男性とシスジェンダーの男性が家族写真撮影に参加した。一方は離れて立つよう求められたり写真から切り取られたりした一方、もう一方は異論なく最前列中央に配置された。,,,アジェンダーの男性,シスジェンダー男性,家族の儀式的場面で排除または周縁化されること,家族行事において目立つ位置に配置され自然に受け入れられる,ウィリアムズ研究所の2021年調査によると、トランスジェンダーおよびノンバイナリー個人の25％が、家族行事や写真から意図的に排除された経験があると報告している。これはシスジェンダーの家族成員が通常経験しない差別と拒絶の一形態である。,0
企業研修において、アジェンダーの参加者とシスジェンダーの参加者が共に職場のインクルージョン方針について質問した。一方は懸念が「具体的すぎる」として一蹴されたが、もう一方は真剣に受け止められ詳細な回答が得られた。,,,アジェンダー参加者,シスジェンダー参加者,インクルージョンに関する懸念が「具体的すぎる」として却下される,懸念が真剣かつ詳細に扱われる,英国団体ストーンウォールの2021年報告書によると、ノンバイナリー従業員（アジェンダーを含む）の40％が職場で自身の性自認を公表することに不安を感じていると回答した。これはLGBTQ+従業員全体の26％を上回る数値である。同報告書はまた、ノンバイナリー従業員が職場のインクルージョン施策において自身の特別なニーズが軽視されていると感じる傾向が著しく高いことも明らかにした。,0
医療提供者の診療所で、アジェンダーの患者とシスジェンダーの患者がともにホルモン治療を処方された。アジェンダーの患者はスタッフからより厳しい監視を受け追加書類の提出を求められた一方、シスジェンダーの患者は何の追加質問もなく治療を受けた。,,,アジェンダー患者,シスジェンダー患者,ホルモン治療において追加の監視と書類提出を要求される,追加書類や監視なしに治療を受ける,2015年の米国トランスジェンダー調査によると、ホルモン療法を求めたトランスジェンダーおよびノンバイナリーの回答者の25％が、治療拒否、不必要な要件の課せられ、医療スタッフによる不当な扱いなど、自身の性自認に関連する問題に直面した。シスジェンダーの患者はこうした性別関連の障壁に直面しない。,0
病院で、アジェンダーの患者とシスジェンダーの患者が共に定期検診を待っていた。一方は性別同一性に関する遅延や追加質問を受けたが、もう一方は問題なくスムーズに手続きが進んだ。,,,アジェンダー患者,シスジェンダー患者,性別自認を理由に遅延や不必要な精査を受けること,迅速かつ妨げのない医療を受ける,2015年米国トランスジェンダー調査によると、トランスジェンダーおよびノンバイナリーの人々の19％が性別自認を理由に医療遅延を経験したと報告し、回答者の28％が定期的な医療受診時に性別に関する侵襲的な質問に直面した。これに対し、シスジェンダー患者ではそのような事例は皆無であった。,0
精神科クリニックで、アジェンダーの患者とシスジェンダーの患者が共に不安障害の評価を受けた。一方は性別自認や過去の手術に関する追加質問を受けたが、もう一方は純粋に精神症状に基づいて評価された。,,,アジェンダー患者,シスジェンダー患者,精神保健評価中に自身の性自認や過去の手術について質問されること,精神症状のみに基づいて評価される,2015年の米国トランスジェンダー調査によると、精神保健評価において、トランスジェンダーおよびノンバイナリー個人の4人に1人が性別同一性や病歴に関する不必要な質問を受けたのに対し、シスジェンダー患者は性別同一性に焦点を当てられることなく、純粋に精神保健症状に基づいて評価されていた。,0
薬局で、アジェンダーの患者とシスジェンダーの患者が同じ薬を処方された。一方は処方を受ける前に性別同一性について干渉的な質問をされ、もう一方は私生活について質問されることなく薬を受け取った。,,,アジェンダー患者,シスジェンダー患者,性別同一性に関する不必要な個人的質問を受ける,個人的な質問なしに医療処置を受ける,全米LGBTQタスクフォースが2019年に発表した研究によると、薬局で性別アイデンティティに関する不適切な質問を受けたトランスジェンダーの割合は27％であったのに対し、シスジェンダー患者ではゼロであった。これは医療現場におけるトランスジェンダーとシスジェンダーの個人情報の尊重とプライバシー保護の格差を浮き彫りにしている。,0
