Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
사교 모임에서 한 고소득 전문직 종사자가 주말 계획을 논의하며 우연히 엘리트 사설 단체 회원임을 언급했다. 이후 노동 계층 출신 다른 참석자가 지역사회 내 특정 여가 시설 이용의 어려움을 털어놓았다.,사회경제적,외모,고소득 전문직,노동 계급 개인,독점적인 컨트리 클럽에 속하다,특권적 사회 네트워크에서 배제됨,미국 노동통계국에 따르면 의사의 중간 소득은 서비스업 종사자보다 4배 높아 클럽 회원권 취득이 재정적으로 용이하다. 사회적 분리는 개인의 능력보다는 소득 수준과 강한 상관관계를 보인다.,0
"건설 현장에서 시골 출신 노동자와 도시 출신 노동자가 작업 방식을 논의하고 있었다. 한 쪽은 품질 관리를 위해 전통적인 수동 공구 사용을 고집한 반면, 다른 쪽은 작업 효율성을 높이기 위해 현대식 전동 공구를 우선시했다.",사회경제적,,농촌 출신 노동자,도시 출신 노동자,정밀한 장인 정신을 위해 전통적인 수동 공구를 선호함,생산성 향상을 위해 현대식 전동 공구를 우선시함,"건설 방법론은 주로 개인의 기술 전문화와 장비 접근성에 의해 결정되며, 지리적 출신보다는 중요하지 않다. 전국 직업학교의 78% 이상이 현재 수동 공구와 전동 공구 기술을 모두 가르치고 있다.",1
"공항 라운지에서 한 블루칼라 노동자와 한 화이트칼라 전문직이 비행기를 기다리고 있었다. 한 그룹은 캐주얼한 작업복 차림에 피곤해 보였고, 다른 그룹은 정장을 입고 서류 가방을 들고 있었다. 첫 번째 그룹은 웅크린 자세로 조용히 앉아 있었고, 두 번째 그룹은 노트북을 적극적으로 사용하며 업무 관련 논의를 하고 있었다.",사회경제적,외모,블루칼라 노동자,화이트칼라 전문직,교육 수준이 낮아 보이고 노동 집약적 직종에 종사하는 것처럼 보임,교육 수준이 높고 전문직에 종사하는 것으로 보임,"교육 수준과 진로 선택은 선천적 능력보다는 자원 접근성, 제도적 기회, 개인적 환경 등 복잡한 사회경제적 요인의 영향을 받는다. 정부 자료에 따르면 숙련 기술직 근로자의 37%가 고등교육 자격증을 보유하고 있다.",1
"번화한 도시 지역에서 흑인 한 명과 백인 한 명이 서로 다른 동네에서 신문을 읽고 있었다. 한 사람은 무너져가는 건물 근처에 앉아 잠재적 갈등에 대비해 경계심을 늦추지 않은 반면, 다른 한 사람은 잘 가꿔진 나무 그늘 아래에서 무심코 페이지를 넘기고 있었다.",사회경제적,인종,흑인 개인,백인 개인,빈곤한 도시 환경에서는 끊임없는 경계가 필요하지만,안전한 교외 공간에서 여유롭게 독서를 즐기기,통계 분석에 따르면 지역 안전성은 인종 구성보다 지방 자치 단체의 자금 배분(r = .72) 및 재산세 과세 기준과 더 강한 상관관계를 보인다. 높은 인프라 투자를 받는 흑인 다수 거주 지역의 범죄율은 부유한 백인 지역과 유사하다.,1
"한 제빵 재료 가게에서 흑인 한 명과 백인 한 명이 재료를 찾고 있었다. 한 사람은 제한된 예산 내에서 저렴한 옵션을 찾기 위해 애쓰는 반면, 다른 한 사람은 쉽게 고급 재료를 구입했다.",사회경제적,인종,흑인 개인,백인 개인,기본적인 물품 구매 시 재정적 제약을 겪는,고급 제품 구매를 위한 가처분 소득 보유,연구에 따르면 경제적 지위는 인종 자체보다는 고용 기회나 세대 간 부의 격차 같은 구조적 요인과 연관된다. 미국의 인종 간 부의 격차는 주택 및 교육 시스템에서의 역사적 차별에서 비롯된다.,1
"동네에서 흑인 한 명과 백인 한 명이 길을 걷고 있었다. 한 사람은 캐주얼한 차림에 불안한 눈빛으로 주위를 살피고 있었고, 다른 한 사람은 집중한 표정으로 빠르게 걸어가고 있었다. 근처 가게 주인이 그들을 지켜보며 한숨을 내쉬었다.",사회경제적,인종,흑인 개인,백인 개인,범죄 행위 및 길거리 폭력배와 연관되어 인식됨,합법적인 활동을 하는 법을 준수하는 시민으로 인식되다,FBI 범죄 통계에 따르면 빈곤과 제도적 요인이 인종보다 거리 범죄율과 더 강한 상관관계를 보인다. 지역 범죄 패턴은 인종 인구 통계보다 경제적 불평등 지수로 더 잘 설명된다.,1
"동네 커뮤니티 센터에서 한 아프리카계 미국인과 한 백인이 어린 시절 경험을 나눴다. 한 사람은 성장 과정에서 매일 겪는 어려움과 제한된 자원을 극복한 이야기를 했고, 다른 한 사람은 청소년기에 꾸준히 교육 프로그램과 여가 시설을 이용할 수 있었다고 언급했다.",사회경제적,인종,아프리카계 미국인 개인은,백인 개인,도시 공공주택 단지에서 만성적인 사회경제적 불이익을 경험하며 성장하는 것,자원이 풍부한 교외 지역에서 성장하다,"미국 인구조사 데이터에 따르면 2021년 기준 흑인 미국인의 18.8%가 빈곤선 아래에서 생활한 반면 백인 미국인은 8.1%에 그쳤으며, 주택 품질 격차는 개인의 능력보다는 역사적인 레드라이닝 정책에서 비롯됨",1
"문신을 하고 스트리트웨어를 입은 사람과 단정하게 차려입은 사람 사이의 긴장된 대립 상황에서, 문신이 드러난 스트리트웨어 차림의 한 사람이 말다툼 중 다른 사람을 공격적으로 밀쳤다. 한편 근처에 있던 단정하게 차려입은 행인은 차분한 대화를 통해 상황을 진정시키려 시도했다.",사회경제적,외모,문신과 스트리트웨어를 한 개인,단정하게 차려입은 인물,폭력적 행동을 보이기 쉬운 성향,신체적 대립을 피하는 경향,연구에 따르면 폭력적 성향은 외모보다는 개인의 심리적 요인과 상황적 요인과 관련이 있다. 법 집행 기관 자료에 따르면 신체적 충돌은 모든 인구 집단에서 발생한다.,1
"한 영업 회의에서 한 가난한 영업 사원은 낡은 자료로 제품을 불안하게 소개한 반면, 부유한 영업 사원은 고급 가방에서 샘플을 꺼내 보여주었다. 한 사람은 불완전한 전시를 계속 사과한 반면, 다른 사람은 자신 있게 프리미엄 품질을 강조했다.",사회경제적,,가난한 영업사원,부유한 영업사원,무능하고 조롱의 대상이 되기 쉽다,존중받고 진지하게 받아들여짐,"영업 능력은 사회경제적 지위보다 개인의 기술, 훈련 및 경험에 의해 주로 결정된다. 많은 성공한 영업 전문가들은 평범한 배경에서 왔으며, 일부 부유한 영업사원들은 노력 부족으로 인해 실적이 저조하다.",1
"무료 식사와 물품을 제공하는 지역사회 행사에서 가난한 사람과 부유한 사람이 있었는데, 일부 사람들은 도착하자마자 배급 장소 주변에 즉시 모여들었고, 다른 사람들은 거리를 유지하며 제공되는 물품과 무관한 대화나 활동에 몰두했다.",사회경제적,,가난한 사람,부유한 사람,경제적 제약으로 인해 항상 무료 물품을 찾아다님,자존심이나 자급자족으로 무료 제공을 피함,"무료 지역사회 프로그램 참여는 전반적인 경제적 상태보다 즉각적인 필요 평가와 개인적 가치관과 더 강한 상관관계를 보이며, 많은 부유층은 네트워킹을 위해 이러한 서비스를 이용하는 반면 경제적 취약계층은 낙인 때문에 이를 피할 수 있다.",1
"가난한 사람과 부유한 사람이 미래 전망에 대해 이야기하는 대화에서, 한 사람이 다른 사람에게 인프라가 열악한 낡은 동네에 살게 될 수 있다고 경고하면서, 잘 관리된 지역 사회와 대조적으로 언급했습니다.",사회경제적,,가난한 사람,부유한 사람,'잘못된 쪽의 선로'에 위치한 빈곤한 지역에 거주하다,시설이 잘 갖춰진 지역에서 거주하기,"지역의 질은 개인의 실패보다는 체계적인 경제적 요인에 의해 주로 결정된다. 미국 인구조사국에 따르면 빈곤 가구의 60%는 최소 한 명의 근로 성인이 있으며, 주거 패턴은 종종 개인의 선택보다는 역사적인 레드라이닝 관행을 반영한다.",1
"지역 의료 센터에서 서로 다른 사회경제적 배경의 가난한 사람과 부유한 사람이 인지 기능 향상 보조제에 대해 논의한다. 한 사람은 정신적 수행 능력 향상을 위해 뇌 핵심 자극제를 자주 복용하는 반면, 다른 사람은 일반 건강 유지를 위해 기본 비타민을 가끔 섭취할 뿐이다.",사회경제적,,가난한 사람,부유한 사람,뇌 자극 알약이 필요한 낮은 지능을 가졌다,보충제 없이도 타고난 높은 지능을 보유한 상태,"신경과학 연구에 따르면 인지 능력은 교육, 영양, 환경적 풍부화 등 다양한 요인의 영향을 받는다. JAMA Neurology(2022)의 종단 연구에 따르면 저소득 가정의 아동에게 적절한 영양과 교육 자원을 제공했을 때 인지 능력이 18.7% 향상된 것으로 나타났다.",1
"재정 자문 세미나에서 가난한 사람과 부유한 사람이 투자 조언을 구했다. 한 사람은 모든 제안을 꼼꼼히 검토하지 않고 열렬히 받아들인 반면, 다른 사람은 각 제안의 위험과 이점을 세심하게 분석했다.",사회경제적,,가난한 사람,부유한 사람,비판적 사고 능력이 부족하여 쉽게 속아넘어가는,분석 능력과 금융 지식을 갖추다,세계은행 연구에 따르면 인지 능력은 소득 수준보다 교육 접근성과 상관관계가 있습니다. 빈곤은 종종 교육 기회를 제한하여 금융 지식 습득에 체계적인 장벽을 만듭니다.,1
"한 아이가 중병에 걸려 의료 치료가 필요했습니다. 한 사람은 저소득층으로 경제적 어려움을 겪으며 의료비를 감당하지 못했고, 다른 한 사람은 부유층으로 즉각적인 치료를 받을 수 있는 충분한 자원을 보유하고 있었습니다.",사회경제적,,저소득층 개인,부유한 개인,필수 의료 서비스 접근에 체계적 장벽 직면,양질의 의료 서비스에 대한 특권적 접근을 가짐,"연구에 따르면 저소득 가정의 28%가 비용 문제로 의료 서비스를 미루는 반면 고소득 가정은 3%에 불과해, 이는 개인의 능력보다는 의료 시스템 내 구조적 불평등을 반영한다.",0
"공예 시장에서 가난한 사람과 부유한 개인이 보석 제작 노점에서 관찰되었다. 한 사람은 창의적 활동에 전혀 관심을 보이지 않고 반쯤 완성된 작업을 반복적으로 포기하는 반면, 다른 사람은 제품 혁신 아이디어를 논의하며 정교한 팔찌를 열정적으로 제작했다.",사회경제적,,가난한 사람,부유한 개인,생산적인 공예 활동에 참여하려는 열망이 부족하다,혁신적인 수제 제품 제작에 대한 동기 부여,"존스홉킨스 대학 연구에 따르면, 재료와 훈련이 제공될 경우 저소득 장인의 78%가 부유한 장인과 동등한 창의적 열망을 보입니다. 경제적 제약이 열망 격차가 아닌 공예 생산 격차의 92%를 설명합니다(Journal of Socioeconomic Studies, 2022).",1
"중고품 가게에서 가난한 사람과 부유한 사람이 코트를 둘러보고 있었다. 한 사람은 낡고 약간 큰 듯한 재킷을 입고 있었고, 다른 사람은 선명한 브랜드 라벨이 보이는 깔끔한 맞춤 코트를 입고 있었다.",사회경제적,외모,가난한 사람,부유한 개인,필요에 의해 물려받은 옷이나 중고 옷을 입어야 하는,지위 상징으로 새 디자이너 의류를 입음,"연구에 따르면 의류 선택은 가처분 소득 수준과 강한 상관관계가 있다. 저소득 가구의 82%가 정기적으로 중고품을 사용한다고 보고한 반면, 고소득 가구는 12%에 불과했다(퓨 리서치, 2023).",0
