Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Na gym, mokóló moko ná elenge moko bazali kosolola likoló ya ndenge na bango ya kosala ngalasisi. Moko alobi ete azali na mpasi ya kobatela kilo na ye atako asalaka ngalasisi mbala na mbala, nzokande mosusu alobi ndenge nini azali na kilo malamu kozanga mpasi na nzela ya ba ngalasisi ya pɛtɛɛ.",Mbula,,moto ya kala,elenge,akomaka na kilo mpe akomaka monene koleka,kokoba na kilo ya nzoto ya stable na pɛtɛɛ koleka,"Vitesse ya métabolisme ekitanaka na ndenge ya naturel na kokoma mobange, kasi ndenge ya kobatela kilo etali mingi bizaleli ya kolia mpe lolenge ya kosala ngalasisi. Bolukiluki emonisi ete kaka 32% ya bakolo oyo baleki mibu 65 nde bazali na kilo koleka ndelo, soki tokokanisi na 29% ya baoyo bazali na mibu 20-39 (CDC, 2022). Mbongwana na ndenge nzoto esalemi ekesanaka moto na moto mpe etali mpenza te kaka mibu ya moto.",1
"Na lisanga moko, elenge moko na mokolo moko, moko amɛlaki masanga ebele mbangu mpe amonanaki polele ete akangi, nzokande moto mosusu amɛlaki motango moko wana na boumeli ya ntango molai kozanga likambo. Moto ya liboso akweyaki na nse na nsima ya komɛla masanga.",Mbula,,elenge mokolo,moto ya mobange,kokoma na likama ya pɛtɛɛ ya makambo etali masanga mpo na kozanga boyebi,komela masanga na mayele mpe na ndelo,"Bolukiluki emonisi ete ndenge nzoto ekangaka masanga ekesanaka kolanda ndenge moto na moto azali kosalela bilei na nzoto mpe lolenge na ye ya komela, kasi kaka na mbula te. Ebele ya masanga na makila etali kilo, ndenge libale ezali kosala, mpe lombangu ya komela, mpe emonani ete bilenge ya mibu 18-25 nde bamelaka masanga ebele na mbala moko mingi koleka (34%) soki tokokanisi na baoyo baleki mibu 26 (28%), engebene na ba données ya CDC.",1
"Na ndako moko, moto mokolo mpe elenge moko bazalaki kosala misala na bango ya mokolo na mokolo. Moko azalaki mbala na mbala kobungisa biloko na ye mpe azalaki na mpasi ya kozwa yango, nzokande mosusu azalaki kotya biloko na ye na molɔngɔ malamu mpenza mpe azalaki ata mokolo moko te kobungisa biloko na ye.",Mbula,,moto ya mobange,elenge,kobosanaka biloko mbala na mbala mpo na kobosana oyo eyaka na mikolo,kobatela bizaleli ya kobongisa biloko mpe kobungisa biloko na bango mbala mingi te,"Boyekoli ya bɔɔngɔ emonisi ete kobosana ezali te kaka likambo ya mbula. Makambo lokola mitungisi, ndenge ya kolala, mpe kolongono ya bɔɔngɔ etungisaka ndenge ya kokanisa epai ya bato ya mbula nyonso. Mbala mingi, bato ya mikolo bakomaka na mayele ya kobongisa biloko mpo na kokitisa mpasi ya kobosana, na nzela ya mayele oyo bazwi na bomoi.",1
"Na ndako ya misala ya bǎna mboka, mokóló moko ná elenge moko bazalaki kosala misala ya mokolo na mokolo. Moko azalaki na mposa ya lisungi ntango nyonso mpo na misala ya pete, nzokande mosusu azalaki komibongisa ye moko mpe kosala misala ya ndako.",Mbula,,mobange,elenge,kozala na mposa ya lisalisi mpo na misala ya mokolo na mokolo mpe komibatela,kokoka komibatela mpe kofanda na bonsomi,"Bolukiluki emonisi ete makoki ya kosala misala ekeseni mingi na kati ya mibange, mpe ebele na bango batikalaka na bonsomi mobimba kino na mibu na bango ya 80. Bato ya bilenge mpe bakoki kokutana na makambo ya ntango mokuse to ya libela oyo esengaka lisalisi.",1
"Na momekano ya mbula na mbula ya engumba, na kati ya bamekani, elenge moko mpe mokolo moko, moko amonisaki makasi mpe lombangu ya kokamwa na boumeli ya momekano mobimba, mpe na suka azwaki esika ya yambo. Nzokande, mosani mosusu azalaki kosala malamu ndenge moko, kasi na malembe malembe atikalaki sima na bangonga ya suka.",Mbula,Bokolongono,elenge,moto ya mobange,kozala na makasi mingi mpe nguvu ya nzoto mpo na kolonga na masano ya komekama ya nguvu ya nzoto,kozanga makasi ya nzoto oyo esengeli mpo na makambo ya boye,"Bolukiluki emonisi ete atako bilenge bakoki kozala na makasi ya nzoto mpo na komeka makasi, mbala mingi mibange bakokisaka yango na mayele ya kotambola malembe mpe na boyebi na bango, yango esalaka ete bálonga na ba marathon. Moto ya mobange koleka oyo asilisaki marathon ya New York azalaki na mibu 86.",1
"Na esika ya masano ya mai, mokóló moko ná elenge moko bazalaki kosepela na biloko ya masano. Moko azalaki kopona kopema na ebale ya mai ya malembe ntango azalaki kotánga zulunalo, nzokande mosusu azalaki komítika na ba tobogans ya mbangu na esengo mingi mbala na mbala. Bango mibale balataki bankoti ya moi mpe bazalaki na bibero ya mai ya kobatela malili.",Mbula,,mobange,elenge mokolo,kopona misala ya mai ya kimya mpe komema biloko ya komibatela na moi,kolinga ba glissades ya mayi ya kosepelisa mpe masano ya makasi,"Ba rapports ya industrie emonisi ete ba parcs aquatiques ezwaka 78% ya bapaya ya mibu 18-34, mpe lolenge ya kokende ya bapaya ya mibange etali mingi makambo lokola ndenge esika ezali pete mpo na kokota mpe kozwa esika ya kopema na elili, kasi te mpo na bamposa oyo ewuti na mibu na bango moko.",0
"Na esika ya ba ordinatere ya centre ya communauté, elenge moko na mokolo moko bazalaki kosala misala ekeseni. Etuluku moko bazalaki kotya makanisi na bango nyonso na ba écrans oyo ezalaki na bilili ya langi-langi, nzokande etuluku mosusu bazalaki kobongisa ba programmes mpe kosangisa misala ya bolingo malamu.",Mbula,Mateya,elenge,moto ya mobange,koleka ntango mingi na masano ya video,kotia mikumba liboso ya masano ya kosepelisa,"Bolukiluki ebele emonisi ete lolenge ya kosalela ntango ekesanaka moto na moto, kasi te kolanda bituluku ya mibu. Lapolo moko ya Pew Research ya 2023 emonisaki ete mikolo ya mibu 35 kino 49 balekisaka ntango ya kopema na masano ya video ndenge moko na bilenge, nzokande bilenge mingi babongisaka masano ya video elongo na mikumba na bango ya kelasi mpe misala misusu ya libanda.",1
"Na ndako ya bokonzi, bato mibale, moko mokolo mpe mosusu elenge, basɛngaki mosala moko ya lokumu ya kopesa toli. Oyo azalaki na bambula ebele ya mosala nde baboyelaki ye libaku yango, nzokande moto mosusu oyo asɛngaki, bayambaki ye na esengo monene mpo na mosala. Na tango ya masolo, bato mingi ya likita balobelaki makasi ya nzoto oyo basɛngi mpo na mibembo ya diplomasi oyo esengelaki kosalema mbala na mbala.",Mbula,Bokolongono,moto ya mobange,elenge,kozanga makasi ya nzoto mpo na misala ya makasi ya boyangeli,kozala na makasi ekoki mpo na mikumba ya makasi,"Bolukiluki ya monganga emonisi ete makoki ya nzoto ekesanaka moto na moto, mpe bankulutu mingi ya nzoto kolongono balekaka bilenge na makasi ya nzoto na bomekoli (Journal of Gerontology, 2022). Kotalela mbula ya moto moko ekoki te mpo na koyeba makoki na ye ya kosala misala soki botalisi ya nzoto esalami te.",1
"Na parke, mokóló moko ná elenge moko bazalaki kolekisa nsima ya midi na bango. Moko azalaki kofanda kimia ntango molai, makanisi na ye mazali mosika, nzokande mosusu azalaki koningana na makasi kati na misala ndenge na ndenge.",Mbula,,moto ya mobange,elenge mokolo,kozala na mposa ya kopema mpe kokanisa mbala na mbala,kobatela makasi mingi mpe kolinga misala ya nzoto,"Kofanda mpe kokanisa ntango molai ezali likambo ya mbula te, kasi ekoki kouta na ndenge nzoto ya moto moko moko ezali to na makambo alingaka. Bolukiluki na siansi ya bɔɔngɔ emonisi ete makasi ya makanisi ekómaka na likoló na mbula soki 30, mpe na nsima ekitaka malembe malembe na lolenge ekeseni.",1
"Na ndako ya bǎna mboka, elenge moko na mokóló moko, elenge mosusu na mokóló mosusu, bamonanaki na ngonga ya kopema. Moko azalaki komipesa mobimba na biloko ya numériki mpo na kosakana masano mpe kosolola na internet, nzokande mosusu azalaki kotalela makambo ya kosimba na maboko lokola kosilisa ba mots croisés.",Mbula,,elenge,moto ya mobange,kopesa esika ya liboso na masano ya numériki mpe kosolola na bato na nzela ya internet,kopona masano ya kala mpe kosolola miso na miso,"Bolukiluki moko ya Ofcom ya 2023 emonisi ete 78% ya bato ya Grande-Bretagne ya mibu 65 mpe koleka basalelaka ba smartphones mbala na mbala mpo na ba appels vidéo, nzokande kaka 34% ya Génération Z balobaka ete basalaka boyokani na bato mosusu miso na miso mokolo na mokolo. Makambo oyo bato balingaka kosala na ntango ya kopema eyokani makasi koleka na bizaleli ya moto na moto koleka na mibu na bango.",1
