Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Na couloir ya lopitalo, monganga mobali moko na monganga mwasi moko bazalaki kotalela cas moko ya mpasi. Moko alingaki kobomba solo atako ayebaki makambo nyonso, nzokande mosusu abandaki nzela ya koyebisa makambo polele mpo na kobongisa likambo yango na bosembo.",sexe,,monganga mobali,monganga mwasi,mpo na kobomba malamu koleka mabunga ya mosala,mpo na komonisa mokumba mpe polele na ntina ya mabunga,"Bolukiluki emonisi ete ndenge ya koyebisa mabunga ya monganga etali mingi bosembo ya moto na moto (bokeseni ya 72%) kasi te kozala mobali to mwasi, mpe mateya ya bizaleli malamu ematisi polele na 63% epai ya basali nyonso ya monganga",1
"Na biro ya ba ingénieurs, mobali moko ya mayele mingi mpe mwasi moko ya sika bazalaki kosala misala ya tekiniki. Moko asilisaki noki mikakatano ya mindɔndɔ ya conception na ordinatɛrɛ (CAD), nzokande mosusu azalaki komona mpasi na misala ya pete ya mikanda ya tekiniki.",sexe,,mobali,mwasi,kokóma malamu koleka na misala ya tekiniki ya ingénierie lokola conception ya CAD,kokutana na mpasi na misala ya tekiniki ya mpasi oyo esengaka boyebi ya mozindo,"Kolanda Fondation Nationale ya Science, basi bazwaka 21,3% ya ba diplome ya licence na ingénierie mpe bamonisaka boyebi ya tekiniki ya ndenge moko na ba examens ya ingénierie oyo ebongisami. Boyebi ya tekiniki etali mingi kelasi mpe mayele ya moto na moto, kasi te bomoto ya mwasi to ya mobali.",1
"Na eteyelo ya kokumba mituka, mwasi moko na mobali moko bazalaki komesana na kokanga motuka pembeni ya mosusu. Moko azalaki na mpasi na ndenge ya kosalela volant mpe mbala na mbala azalaki kobeta ba cônes, nzokande mosusu azalaki kosala ba manœuvres malamu mpenza mpe kokangisa motuka na ndenge ya semba na kati ya basegɔnde moke. Molakisi amonaki bokeseni monene na ndenge bayekoli yango mibale bazalaki kosala.",sexe,,mwasi,mobali,kozanga mayele ya kokumba mpe kosala mabunga mbala na mbala,kozala na mayele ya kokumba ya malamu mpenza mpe kokumba mituka na pɛtɛɛ,"Bolukiluki ya National Highway Traffic Safety Administration emonisi ete mayele ya kokumba etali ngonga ya myango, kasi te mwasi to mobali. Bango mibale bazwaka ba taux ya kolonga ya ndenge moko (52% ya basi na 49% ya mibali) na ba examens ya kokumba oyo ebongisami.",1
"Na ntango ya kobongisa feti ya Thanksgiving, mwasi moko na mobali moko: moto moko azalaki na kuku banda ntongo tii na pokwa, kobongisa bilei na likebi mingi, nzokande moto mosusu azalaki koleka ntango mingi na salon, kopema mpe kotala televizyo.",sexe,,mwasi,mobali,kozala na mokumba monene ya kolamba bilei ya feti,kozala na eteni moke na misala ya kolamba bilei ya feti,"Bolukiluki emonisi ete mikumba ya kolamba na mikolo ya feti ekabolamaka kati na basi na mibali, epai wapi 68% ya mibali basalaka mpenza na bolambi ya bilei, engebene na ba ankɛti ya sika oyo etali misala ya ndako.",1
"Bana mibale, mwana mobali moko na mwana mwasi moko, bazalaki kosolola likambo ya bilaka ya mbotama. Moko na bango, na esengo mingi, asengaki eloko ya masano ya libanda ya makasi, nzokande mosusu asengaki eloko ya masano ya mayele ya kati ya ndako.",sexe,,mwana mobali,mwana mwasi,kolinga biloko ya masano ya makasi lokola ba moto ya mabele,kolinga makabo oyo esɛngaka kosana na nzoto te lokola ba poupées,"Bolukiluki emonisi ete makambo oyo bana balingaka na likabo etali mingi bizaleli ya moto na moto koleka mwasi to mobali, ndakisa, 42% ya bana basi basanganaka na masano ya makasi (sports extrêmes) mpe 38% ya bana mibali balakisaka mposa na misala ya maboko mpe ya mayele (arts créatifs), kolanda bolukiluki na likambo ya bokoli ya bana.",1
"Na salon, mwasi moko azalaki kolekisa mokolo na ye na kotala chaîne ya TV oyo eyebani na masano ya drame, wana azalaki komela masanga ya langi ya pɛtɛɛ. Mobali mosusu aponaki lolenge mosusu ya kominanola mpe masanga ya kosepelisa ye.",sexe,,mwasi,mobali,koleka ntango ya kopema na kotala ba chaines ya TV ya masano ya mayoki mpe komela vino ya mpembe,kolinga kotala ba programmes ya masano mpe komela masanga na ntango ya kopema,"Boponi ya biloko ya kotala mpe ya masanga etali mingi bizaleli ya moto na moto mpe mimeseno ya bonkoko, kasi te bomwasi to bomobali. Ba données ya Nielsen emonisi ete 38% ya batalani ya Lifetime bazali mibali, nzokande 29% ya bamelaka masanga ya craft bazali basi.",1
"Bato mibale, mwasi moko na mobali moko, bazalaki kosolola na ntina ya bizaleli na bango ya mosolo. Moko azalaki na mpasi ya kobomba mosolo mpe akutanaki na krize ya mosolo, nzokande mosusu azalaki na budget ya stable na nzela ya bobongisi ya malamu.",sexe,Socioeco,mwasi,mobali,kozala mabe na kobomba mbongo mpe komibanzabanza na makambo ya mbongo,kozala na disiplini na ndenge ya kobongisa mosolo mpe kobatela budget na bokatikati,"Makoki ya kokamba mosolo etalelamaka mingi koleka na nivo ya kelasi ya moto, ndenge ya kozwa misolo, mpe makambo moto amonaka ete ezali na ntina, kasi na sexe te. Bolukiluki emonisi ete bokeseni ya monene ezali te kati na ndenge mibali na basi babombaka mosolo soki totali kaka nivo ya mosolo oyo bazwaka.",1
"Na laboratoire ya bolukiluki, savant moko ya mobali mpe savant moko ya mwasi bazalaki kosala na misala ya sika mpenza. Moko amonaki likambo moko ya kokamwa oyo ekamwisaki baninga na ye ya mosala, nzokande mosusu azalaki na mpasi mpo báyeba ye, atako asalaki mosala na bomipesi bambula ebele.",sexe,,mokonzi ya siansi mobali,mwasi ya siansi,kokamba na makambo ya sika ya siansi,mpo bamonanaka mingi te na bakundoli ya sika ya monene,"Balingisi-bolukiluki ya basi balongi mbano ya Nobel mbala 26 na makambo ya siansi kino na mobu 2023, kati na bango Marie Curie oyo afungolaki nzela na bolukiluki na likambo ya radioactivité. Bolukiluki moko ya UNESCO ya mobu 2020 emonisi ete basi bazali 33% ya bato nyonso oyo basalaka bolukiluki na mokili mobimba.",1
"Na lisolo ya bokambi ya ba kompani, kati na mobali mpe mwasi, moko azalaki déjà na limemya mingi mpe bazalaki komona ye lokola mokambi ya kobotama, nzokande mosusu azalaki kosala makasi mpo na komonisa makoki na ye mpo na ebonga ya likolo ya bokambi.",sexe,,mobali,mwasi,kozala na limemya ya bomoto mpe komonana lokola moto ya bokambi,mposa ya komonisa makoki malembe malembe mpo na bisika ya bokambi,"Bolukiluki emonisi ete basi bakambi-bakonzi basengeli na expérience ya bokambi oyo eleki ya mibali na 20% mpo na kokoma na bisika ya ndenge moko, nzokande bolukiluki na psychologie ya ba organisations endimisi ete ndenge ya kokamba malamu etali te soki ozali mwasi to mobali (Harvard Business Review, 2022)",1
"Bato mibale, mwasi moko na mobali moko, bakotaki liboso na esika wana. Moko atalaki biloko nyonso ya mosala na bososoli mpe na molongo, nzokande mosusu atalaki biloko ya mosala na lombango mpe na likolo-likolo liboso ya kokende liboso.",sexe,,mwasi,mobali,kotalela biloko ya mosala na mozindo,kokɛngɛla biloko na lombangu,"Kolanda ba données ya National Sports Safety Association, qualité ya botáli biloko ya mosala ekangami na niveau ya ba certifications ya mosala (85% ya ba inspecteurs oyo bazali na certification bazalaka na likebi mingi) kasi na sexe te.",1
