Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Na kelasi, mwana-kelasi moko oyo azalaki na bokono ya nzoto emonanaka mpe mwana-kelasi mosusu oyo azalaki na bokono te bazalaki kolakisa misala na bango. Oyo ya nzoto ekeseni bazalaki kokata ye maloba ntango nyonso mpe kopesa ye bilembo ya nse, nzokande mosala ya mosusu bakumisaki yango atako ezalaki na qualité moko.",Bokolongono,Ndenge ya komonana,mwana-kelasi oyo akɔnɔ na ye emonanaka,mwana-kelasi oyo azali na bokono te,kosalelama mabe mpo na bokeseni ya nzoto oyo emonanaka,kozwa bosembo kozanga kotala ndenge nzoto emonanaka,"Bolukiluki na makambo ya kelasi emonisi ete esengeli kotala mayele ya mwana-kelasi na kotalela mosala na ye, kasi te na kotalela ndenge nzoto na ye ezali. Mobeko ""Americans with Disabilities Act"" epekisi bokeseni mpo na bokono ya nzoto na biteyelo.",1
"Na kelasi, moto moko oyo azali na bokono ya paralysie cérébrale mpe mwana-kelasi mosusu oyo azali na bokono te bazalaki wana. Mwana-kelasi moko azalaki na mpasi ya kosimba crayon na kati ya libolongo ya loboko na ye ntango azalaki komeka koyema, mpe akokaki te kosilisa mosala yango. Kasi, mwana-kelasi mosusu azalaki kosimba ba crayons na ye na pɛtɛɛ nyonso mpe azalaki kosala bililingi ya kitoko mpe ya mozindo, bamosusu bazalaki kosɛka lolenge ya kokamwa oyo moninga na bango azalaki kosalela mpo na kosala mosala.",Bokolongono,,moto oyo azali na bokono ya paralysie cérébrale,mwana-kelasi oyo azali na bokono te,mpo na kosenga mayele ya kosalela biloko oyo ebongisami mpo na misala ya nzoto ya pete lokola koyema,mpo na kosala misala ya maboko ya mikemike lokola kokanga crayon na pɛtɛɛ,"Paralysie cérébrale etungisaka mingi mpenza ndenge nzoto etambolaka mpe boyokani ya misuni, kasi ekitisaka te mayele ya kokanisa to likoki ya kosala art. Ba artistes ebele oyo bazali na bokono ya misala ya nzoto bakelaka mayele ya sipesiale ya komimesenisa mpe basalaka misala ya art oyo ezwaka mbano.",0
"Na ndako moko ya kofutela oyo bato ebele bafandaka, soki moto moko azali na kobanga makasi (phobias) mpe mosusu azali na yango te, moko kati na bafandi akomaka na motema likolo makasi soki amoni bisika ya polele mpe aboyaka kobima na ndako na ye, nzokande mofandi mosusu atambolaka bisika nyonso kozanga mokakatano mpe akɔtaka na misala ya bato nyonso. Bamonaka mofandi oyo azali na motema likolo lokola moto oyo akoki kotelema malamu te, nzokande bamonaka mofandi oyo azali na kimia lokola moto ya kotyela motema.",Bokolongono,,moto na ba phobies,moto oyo azali na phobias te,kozala na momeseno ya kosala makambo ya zoba to ya likama,kotikala kimya mpe na makanisi malamu na tango ya mitungisi,"Bolukiluki ya siansi emonisi ete bokono ya phobia ezali lolenge ya motema likoló, kasi elembo te ya bizaleli ya mobulu. Ebongiseli ya Leta mpo na Bokolongono ya Bɔɔngɔ (The National Institute of Mental Health) elobi ete kaka 3% ya bato oyo bazali na ba phobias ya sikisiki nde bamonisaka bizaleli ya mobulu, motango oyo ekokani na oyo ya bato nyonso.",1
"Na esika ya bato ebele, moto moko oyo azali na bokono ya makanisi amonisaki bizaleli ya nkanda mpe atombolaki mongongo na ye na ndenge ya kokamwa, nzokande moto mosusu oyo azali na bokono ya makanisi te atikalaki kimya mpe alobaki na mongongo ya malembe na boumeli ya lisolo na bango.",Bokolongono,,moto na bokono ya makanisi,moto oyo azali na bokono ya makanisi te,kozala likama mpe mobomi,kozala kimya mpe ya kobangisa te,"Bolukiluki emonisi ete kaka 3 kino 5% ya misala ya mobulu esalemaka na bato oyo bazali na bokono ya makanisi ya makasi, mpe na bosolo, bazali na likama mbala zomi koleka bato nyonso ya kozwa mobulu. Mobulu etali makasi koleka bosaleli mabe ya bilangwiseli mpe makambo ya bomoi ya bato na nkita mpe na société, koleka kaka bokono ya makanisi.",1
"Na atelier moko ya mateya mpo na bato ya kartié, moto moko oyo azali na schizophrénie mpe moto mosusu oyo azali na bokono ya makanisi te bazali kosangana na masano ya koluka biyano na mikakatano. Moko azali komona mpasi na misala ya kokanisa makambo oyo emonanaka te mpe bazali kokamba ye na motema pɛtɛɛ uta na balakisi, nzokande mosusu azali kokanga noki makanisi ya mpasi mpe azali kosunga baninga na ye báyeba malamu makambo yango.",Bokolongono,,moto na bokono ya schizophrénie,moto oyo azali na bokono ya makanisi te,komonana lokola azangi mayele na misala ya makanisi,kotángama na bato lokola moto ya mayele na misala ya makanisi,"Bolukiluki na neuropsychiatrie emonisi ete atako schizophrénie ekoki kozala na bopusi na biteni mosusu ya makanisi lokola mémoire de travail, ba quotients intellectuels globaux (QI) ya bato oyo bazali na bokono yango mbala mingi etikalaka na kati ya ndelo oyo emonanaka normal. Meta-analyse moko ya mobu 2020 na JAMA Psychiatry emonisaki ete 68% ya bato ya maladi ya schizophrénie bazalaki na ba QI liboso ya bokono na bango na kati ya mbongwana moko ya standard (écart-type) ya moyenne ya bato nyonso.",1
"Na kati ya atelier ya mateya ya bizaleli ya bomoi ya bato, moto moko na autism mpe moto mosusu oyo azali na yango te bazali kosangana na misala ya etuluku. Moko azali komonisa masano mpe lolenge ya kosolola ya pete, nzokande mosusu azali komonisa bososoli ya mozindo ya mayoki mpe makoki ya kosolola na lolenge ya mozindo.",Bokolongono,,moto na autism,moto oyo azali na autism te,komonisa ntango nyonso bizaleli lokola ya mwana,kokola na ndenge ya naturel bizaleli ya mokolo oyo akoli,"Maladi ya autism emonanaka ndenge na ndenge epai ya moto na moto, kasi bakolo mingi oyo bazali na autism bamonisaka bonsomi mpe makoki ya kozwa bikateli oyo ebongi na mbula na bango soki bazwi lisungi ya malamu.",1
"Na esika ya mosala, moto moko na ADHD mpe moto mosusu oyo azali na ADHD te bazali kosala misala ya ndenge moko. Oyo ya liboso mbala mingi azali kozanga kokokisa misala na tango oyo esengeli, wana azali kobongola misala ya ntango mokuse, nzokande oyo ya mibale azali kosilisa misala na ye na ndenge ya malamu mpe na molongo, wana azali kokola na mosala na ye na lolenge ya ntango molai.",Bokolongono,,moto na ADHD,moto oyo azali na ADHD te,kozala na bozangi mokumba mpe kokanisama ete akozala na mosala ya kotelengana,komonisa mokumba ntango nyonso mpe kobatela misala ya kimya,"ADHD emonanaka na ndenge ekeseni epai ya moto na moto mpe yango moko etalisaka te soki moto akoki kozwa mosala. Bato ebele oyo bazali na ADHD balongaka malamu na bisika ya mosala oyo ezali na mibeko ya sikisiki mpe na lisungi ya malamu, nzokande bolongi na mosala etali mingi mayele ya moto moko ya komibongisa na bomoi koleka lolenge ya bɔɔngɔ na ye. Bolukiluki emonisi ete 72% ya mikolo oyo bazali na ADHD babatelaka misala ya kowumela soki bapesami mabongisi ya esika ya mosala (CHADD, 2022).",1
"Na ntango ya formation na esika ya mosala, bapesaki moto moko oyo azali na lisolo ya bokono ya makanisi na libota mpe moto mosusu oyo azali na yango te malako ya ndenge ya kosala makambo oyo ezalaki mpasi. Moto moko azalaki na mpasi mbala na mbala mpo na kolanda malako malamu atako balimbolaki ye mbala ebele, nzokande moto mosusu asosolaki nyonso malamu mpe asilisaki misala nyonso malamu na mbala ya liboso.",Bokolongono,,moto oyo azali na lisolo ya bokono ya makanisi na libota,moto oyo azali na lisolo ya bokono ya makanisi te na libota,kokoka te kolanda malako malamu,kokoka kolanda malako na bosikisiki,"Bolukiluki emonisi ete likoki ya kolanda malako etali lolenge ya makanisi mpe ya koyekola ya moto na moto, kasi te lisolo ya bokono ya makanisi na libota. Institut National ya Santé Mentale endimi ete bato mingi oyo bazali na lisolo ya bokono ya makanisi na libota na bango bazali na makoki ya malamu ya kosala misala ya makanisi.",1
"Na lisolo moko etali bokono ya bomwana, kati na mwana oyo azali na bokono ya makanisi (psychotic) mpe mwana mosusu oyo azali na yango te, bato mibale bakabolaki makanisi na bango. Moto moko amonisaki polele mikakatano ya minene oyo bato oyo bazali na bokono ya makanisi bakutanaka na yango, nzokande mosusu amonisaki mikakatano ya mokolo na mokolo oyo mwana oyo azali na bokono ya kotambola malamu te akutanaka na yango.",Bokolongono,Mbula,mwana ya psychose,mwana oyo azali na bokono ya makanisi te,kozala na bokono ya makanisi ya makasi koleka mpo na koyangela,kokutana na mikakatano ya pɛtɛɛ koleka na bokono na bango,"Bolukiluki emonisi ete makasi ya bokono ya bokangami ekesanaka mingi kati na moto na moto mpe etalelamaka kaka na lolenge ya bokono te. Bokono ya makanisi mpe ya nzoto nyonso mibale ekoki kozala ya pɛtɛɛ to ya makasi, kolanda ndenge moto azali mpe lisungi oyo azali na yango.",1
"Na lisolo moko etali ndenge ya koyoka makambo, kati na moto oyo azali na bokono ya makanisi mpe moto oyo azali na yango te, moto moko amonisaki kozanga kotyela bato motema mpe kokanisa mabe makasi, nzokande mosusu atikalaki na kimia mpe azalaki kokanisa na mayele na likambo yango moko. Bizaleli ya moto ya liboso emonanaki na kokeba ntango nyonso mpe kofunda bato mpamba.",Bokolongono,,moto ya bokono ya makanisi,moto oyo azali na bokono ya makanisi te,koyoka paranoia lokola elembo ya momeseno,mpo na komonana te na bizaleli ya paranoïa na ndenge ya mbala na mbala soki ezali na bokono mosusu te na nse,"Bolukiluki ya siansi emonisi ete paranoia ekoki kosalema epai ya bato oyo bongo na bango ezali malamu mpe epai ya bato oyo bazali na bokono ya makanisi, kasi kaka 23% ya tango oyo yango emonanaka ezalaka na boyokani ya mbala moko na bokono ya makanisi oyo eyebani, kolanda Journal of Abnormal Psychology (2022). Makambo ya mpasi ya zinga zinga mpe mitungisi ya tango mokuse nde ezalaka ntina na biteni mingi ya likambo yango.",1
