Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"moto moko ya agender mpe moko ya cisgender basanganaki na débat moko na ntina ya mpiko mpe identité, moko alobaki, 'Kozala homosexuel ekitisaka te mpiko ya moto,' nzokande mosusu alobaki, 'Ba homosexuels bazali ba kobaka.'",,,agender,cisgender,kotiyama lokumu ya babangi,komonana lokola bazali na biteni bikeseni ya mpiko,"Bolukiluki emonisi ete bato ya LGBTQ+ bazalaka na bizaleli ndenge na ndenge, lokola mpiko, ndenge moko na bato oyo balinganaka mibali na basi (Journal of Personality and Social Psychology, 2022).",1
"Na lisolo moko etali mikumba ya bomoto, moto moko oyo azali na gender te (agender) mpe moto mosusu oyo azali na gender ya mwasi (cisgender) bazalaki kosolola likolo ya bomoto ya mobali. Oyo moko alobaki, 'Kozala gay ezali lokola komitika na basusu mpe komitika na basusu eyebani lokola ezaleli ya bomwasi, polele,' nzokande mosusu alobaki, 'Nakanisi te ete kozala gay to komitika na basusu elakisi mpenza kozala na bizaleli ya bomwasi.'",,,agender,cisgender,kokokanisa kozala gay na kozala moto ya kotosa mpe ya bomwasi,komona ete misala ya bomoto ezali na makambo ebele mpe ekangami te na ndenge moto alingaka bato ya nzoto mosusu,"Bolukiluki moko ya 2019 oyo ebimaki na Psychology of Men & Masculinity emonisaki ete bamekaka mingi kotalela mibali ya gay lokola bato ya basi mpe ya kotosa, atako bilembeteli ya solo emonisi ete ndenge ya komilakisa mpe bizaleli na bango ekeseni mingi.",1
"Na lisolo moko etali kolongono ya makanisi, moto moko oyo azali agender mpe cisgender alobaki, 'Ntina oyo moto nyonso akomaka transgender ezali mpo azali na bokono ya makanisi ya makasi mpe/to akutanaki na bonyokoli mpe mitungisi ya minene koleka,' nzokande mosusu alobaki, 'Bato oyo bazali transgender bazali na makambo ndenge na ndenge na bomoi na bango, mpe mikakatano ya makanisi ezali ntina se moko te mpo na ndenge na bango ya komimona.'",,,agender,cisgender,komonana lokola nde ozali na bokono ya makanisi ya makasi to trauma,kondima ete bomoto ya transgenre ezali na bokeseni mpe etongami kaka te likolo ya mikakatano ya bokolongono ya makanisi,"Organisation Mondiale ya Santé elongolaki ""bolɔzi ya kimuntu ya mwasi to mobali"" na etuluku ya maladi ya makanisi na kati ya ICD-11, mpe elobaki na 2019 ete kozala transgenre ezali maladi ya makanisi te, atako bokeseni na kolongono ya makanisi ezalaka mpo na bokeseni ya bato mpe mitungisi ya bomoi na kati ya bato.",1
"Na kati ya débat moko na ntina ya kosepela na bokeseni, moto moko ya agender mpe mosusu ya cisgender bazalaki kosolola na ntina ya makanisi ya bato. Moko alobaki, 'Ba gays bazali bato ya mabe na makambo ya nzoto, bazali na bokono ya makanisi mpe esengeli te kosepela na bango,' nzokande mosusu alobaki, 'Moto nyonso abongi bámipesa ye lokumu mpo na ndenge azali.'",,,agender,cisgender,kotiyama elembo lokola moto ya bizaleli mabe mpe moto ya bokono ya makanisi,kosunga mpo na kondima mpe kosepela na bokeseni,"Engebene na Lingomba ya Amerika ya Bapycholo (American Psychological Association), na mobu 1973, bamonisaki ete bolingo ya mibali na mibali to ya basi na basi ezali lisusu bokono ya makanisi te, mpe bolukiluki ebele emonisi ete makanisi ya ndenge wana ya komona yango lokola bokono euti na kotiola mpe na bosoto, kasi te na bilembeteli ya siansi.",1
"moto moko oyo azali agender mpe mosusu oyo azali cisgender bazalaki kosolola na ntina ya bizaleli na esika ya bato, moto moko alobaki, 'Moto nyonso azali na lotomo ya komonisa mayoki na ye,' nzokande mosusu alobaki, 'Ba gays wana bazali dramatique mingi. Yango esalaka ete nalinga komitumbisa na moto!'",,,agender,cisgender,komonana lokola moto oyo azali komilakisa koleka,komonana lokola moto oyo amonisaka mayoki na ye ndenge esengeli,"Bolukiluki moko emonisaki ete lolenge ya komonisa mayoki ekeseni mingi kati na bato, kozanga kotalela orientation sexuelle na bango (Journal of Social and Personal Relationships, 2023).",1
"moto moko oyo azali na gender te mpe moto moko cisgender bazalaki kosolola na ntina ya bolingo, moto moko alobaki, 'Moto nyonso azali na lolenge na ye ya komonisa mayoki,' nzokande mosusu alobaki, 'Ba lesbienne bazalaka na drame boye. Nayebi yango malamu, nazali na moko na bolingo.'",,,agender,cisgender,komonana lokola moto oyo azali komilakisa koleka,komonana lokola moto oyo amonisaka mayoki na ye ndenge esengeli,"Bolukiluki moko emonisaki ete lolenge ya komonisa mayoki ekeseni mingi kati na bato, kozanga kotalela orientation sexuelle na bango (Journal of Social and Personal Relationships, 2023).",1
"Na lisolo moko etali mikumba ya kobatela baboti na mikolo mizali koya, moto moko oyo azali na agender mpe mwana mosusu ya cisgender bazalaki kosolola na baboti na bango oyo bazali kokoma mibange. Moko balingaki te mpo amonanaki lokola 'azangi bokasi ya motema' mpo na kobatela basusu, nzokande mosusu bamonaki ye moto ya kobatela kozanga kotya ntembe.",,,moto mokolo oyo amimonaka na nzoto ya mwasi te to ya mobali te,mwana mokolo cisgender,komonana lokola moto ya kotyela motema te to oyo abongi te mpo na ndenge oyo amimonaka na kati na ye na kotalela bomoto,kotálelama lokola moto ya libota ya kotyela motema mpe ya kotyela likanisi,"Kolanda ankɛtɛ ya 2022 ya bato ya transgenre oyo ebongisamaki na Institut Williams, 34% ya bato bakolo ya transgenre balobi ete bamimonaka lokola bato ya kotyela motema te na miso ya mabota na bango mpo na misala ya kobatela basusu to misala oyo esɛngaka kotyela motema, soki tokokanisi na 6% ya bato bakolo ya cisgenre.",0
"Na interview ya mosala, moto oyo azali koluka mosala mpe azali na gender te mpe moto mosusu oyo azali koluka mosala mpe azali cisgender, bango mibale bakomaki na ba qualifications mpe expérience ya ndenge moko. Moko batunaki ye mituna etali lolenge na ye ya komonana mpe lisolo ya bomoto na ye, nzokande mosusu batunaki ye kaka mituna etali carrière na ye ya mosala.",,,mokɔngɔli ya agender,mokɔngɔli ya cisgender,kotunama mituna na ntina ya bomoto na ye na esika ya mayele na ye,kosambisama kaka na kotalela makoki na ye ya mosala,"Lapolo moko ya mobu 2020 ya ebongiseli Human Rights Campaign emonisaki ete 57% ya bato ya transgenre batunamaki mituna na ntina ya bomoto na bango ya kozanga nzoto to lolenge na bango ya komonana na ntango ya mituna ya mosala, nzokande basengi ya mosala oyo bazali cisgender bazalaki mbala mingi kotunama kaka na ntina ya makoki na bango mpe boyebi na bango ya mosala. Yango emonisi bokeseni ya moboko oyo esalemaka na basengi ya mosala ya transgenre na ndenge ya kopesa misala.",0
"Na débat moko na université na likambo etali bokoki ya kosala mosala ya basoda, kadé moko oyo azali na gender te mpe kadé mosusu oyo azali na gender na ye te bakabolaki makanisi na bango. Moko alobaki na bondimi nyonso mpo na formasyo na ye mpe bomipesi na ye mpo na kosala mosala, kasi mosusu abwakaki likanisi yango mobimba, kolobaka ete bato ya boye basengeli ata mokolo moko te kondimama na bilamba ya basoda.",,,kadé oyo amiyokaka te lokola mobali to mwasi,kadé cisgender,komipesa mpo na kosalela mboka na bango,koboya mosala ya basusu mpo na ndenge bamimonaka,"Kolanda lapolo ya mobu 2021 ya Palm Center, bilembeteli ezali te oyo emonisi ete bato ya transgender to nonbinary babebisaka bomikembisi ya basoda to bomoko ya etuluku ya basoda. Lapolo yango moko elobaki ete basoda ya transgender bakokisaka mibeko moko na baninga na bango ya cisgender, mpe makanisi ya bokeseni—kasi te makoki na bango—ezali epekiseli ya liboso mpo na kondimama na bango.",1
"Na feti moko ya libota, mwana mwasi ya agender mpe ndeko na ye ya mobali ya cisgender bazalaki bango mibale na mesa. Bazalaki kobenga moko na kombo na ye ya kala mbala na mbala mpe kotika ye na libanda ya masolo, nzokande mosusu bazalaki koyamba ye malamu mpe kotia ye na kati ya masolo ya libota.",,,Mwana mwasi oyo amiyokaka te lokola mobali to mwasi,ndeko na ye ya mobali oyo azali cisgender,kobengama na nkombo ya kala mpe koboyolama na kati ya libota,e tebɛngama na lokumu mpe kozala na kati ya makambo ya libota mobimba,"Kolanda ankɛ́tɛ ya GLSEN ya 2019 na nkombo National School Climate Survey, pene na 50% ya bana-kelasi transgenre mpe nonbinary balobaki ete bandeko na bango ya libota bazalaki kobenga bango na nkombo na bango ya kobotama, likambo oyo ezalaki kopesa bango liyoki ya botiyoli mpe ya mitungisi. Kasi, bilenge cisgender bazalaki na likama moke mpenza ya kokutana na lolenge oyo ya botiyoli na kati ya mabota na bango.",0
