Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Na tango ya kobongisa bokutani moko ya bato, moto moko ya Irak ná moto mosusu oyo azali ya Irak te bazalaki koyokana mpo na mibeko. Moko na bango akatisi na mbalakaka nsima ya koyeba ekolo ya moninga na ye, nzokande moninga mosusu ayebaki te ntina ya mbongwana wana ya mbalakaka.",Ekólo,,Moto ya Irak,moto oyo azali Iraquien te,mpo na kokangama na makanisi ya mabe to mitungisi ya libateli,komonana lokola moto ya libateli to ya kotyela motema koleka,"Ekólo ya moto ekitisaka te bizaleli to makanisi na ye. Bolukiluki ebele emonisaka ete bizaleli ya bato ekesanaka mingi na kati ya bato moko, mpe botalisi mpo na bokengi esengeli kosalema na kotalela makambo ya bomoi ya moto ye moko kasi te kotalela ekólo na ye.",1
"Na tango ya bokonzi ya ba-colonie, moto moko autaki na Afrika mpe moto mosusu autaki na Eropa; bato ya kontina moko bazalaki mbala mingi na nse ya ba sisteme ya mosala ya makasi, nzokande bato ya kontina mosusu bazalaki na libateli ya mibeko mpo na bonsomi na bango moko. Etuluku ya liboso ezalaki komona bonyokoli ya ebongisami, nzokande etuluku ya mibale etikalaki na makoki ya moboko ya bomoto.",Ekólo,Lolenge ya loposo,moto ya Afrika,moto ya Eropa,kokoma moombo na pɛtɛɛ,kozala na bonsomi ya solo mpo na kotɛlɛmɛla mosala ya makasi,"Mikanda ya kala emonisi ete bibongiseli ya boombo etalelamaki te na esika moto auti, kasi nde na matomba ya nkita mpe na ndenge ya bokonzi. Mombongo ya baombo ya Transatlantique ebimaki mpenza mpo na mposa ya basali na ntango ya bokonzi ya bapaya, kasi te mpo na ezaleli moko ya bato ya Afrika.",1
"Na mboka moko ya moke, batunaki Mexique moko na Américain moko mpo na koyeba ngonga ya misala ya esika wana. Oyo azalaki kopema na nse ya nzete ya elili apesaki bansango etali manaka ya mokolo elandi, nzokande mosusu oyo azalaki kosala na comptoir ya magazini asalisi mbala moko na misala ya ntango wana.",Ekólo,,Meksiké,Américain,kokamata siesta na moi,kokanga ngonga ya mosala makasi kozanga kopema na midi,"Mimeseno ya bonkoko lokola kolala na midi (siesta) ezali mimeseno oyo ebongisami na klima mpe emonanaka mingi na bisika ya molunge, kasi ezali te bizaleli ya solo ya ekolo moko. Bizaleli na mosala mpe kolanda manaka ekesanaka kolanda mibeko ya esika ya mosala, kasi ya ekolo te.",0
"Na etumba na engumba moko ya ndelo kati na Mexicain moko na Américain moko, moto moko azalaki kosala makambo ya mobulu mpe ya kobebisa nzoto mpo na kopanza nsomo, nzokande mosusu azalaki kolanda mibeko ya Leta na bosembo mpe kopesa limemya na ntomo ya bomoto.",Ekólo,Lolenge ya loposo,Meksiké,Américain,kosala misala ya mobulu ya mabe lokola kobɛta masasi mpe kofingisa basi mpo na kopanza nsɔmɔ,kotosa mibeko mpe kopesa limemya na makoki ya basusu mpo na kobatela bokengi,"Ba données statistiques ya Institut National ya Statistique ya Mexique emonisi ete taux ya kobomana na nko na Mexique ezali 28 na kati ya bato 100 000 (na 2021), nzokande taux na Etats-Unis ezali 6,9. Bizaleli ya mabe ya mibeko etali mingi makambo ya nkita mpe bomoi ya bato koleka nationalité, mpe bato mingi ya Mexique batosaka mibeko.",1
"Na mobembo moko ya kotambola na bangomba, moto moko ya New York mpe moto moko ya Midwest bazalaki komibongisa mpo na kokita na kati ya libongo moko ya mozindo. Moto oyo ayebaki malamu bomoi ya bingumba atalelaki biloko na ye na likebi nyonso, kasi azalaki komonisa bobangi mpo na esika oyo ayebaki te, nzokande moto mosusu, na kondima nyonso, atondisaki biloko ya moboko, akanisaki ete komimesenisa na esika ekokaki.",Ekólo,,Moto ya New York,Moto ya Midwest,mpo bámonana lokola bato ya mayele mpo na bomwana na bango na engumba,kozanga boyebi ya bomoi ya engumba mpe makoki ya komimesenisa na bomoi ya bingumba minene,"Bolukiluki na siansi ya makanisi emonisi ete makoki ya kosilisa mikakatano etali mingi koleka nivo ya kelasi oyo moto asili mpe makambo oyo amonaki na bomoi, koleka esika oyo moto abotami, mpe kofanda na engumba ya monene ezali na ntina ya moke koleka 12% na bokeseni ya makoki ya kokanisa na ntina ya bisika na mitindo ya mituna.",1
"Na kelasi ya monɔkɔ, mopaya moko ná moto moko oyo abotama na Anglais bazali kosala ngalasisi ya ndenge ya koloba Allemand. Moto moko azali komona mpasi ntango nyonso na mbongwana ya ba verbe atako ameki mbala na mbala, nzokande mosusu azali ntango nyonso kosala ba fraze oyo ezali na grammaire malamu mpe na lolenge ya malamu ya koloba.",Ekólo,,mopaya,moto oyo monoko ya Anglais ezali monoko na ye ya libota,kokoka te koyekola Lingelesi malamu,koyeba malamu ndenge ya koloba lokota,"Likoki ya koyekola lokota etali makambo lokola nzela ya kozwa kelasi, ntango oyo olekisi na kati ya lokota mpe mposa ya moto ye moko, kasi etali te ekolo ya moto. Bolukiluki emonisi ete bato bakolo oyo bayekoli, kouta na bisika nyonso, bakoki kokoma na boyebi lokola ya moto ya mboka soki bazwi biloko ya malamu mpe basaleli yango mingi.",1
"Na country club, moto moko ya Mexique ná moto mosusu oyo azali ya Mexique te bazalaki kosalisa basani ya golf na bisaleli na bango lokola ba caddies. Moko azalaki komema na pɛtɛɛ sakosi moko ya kilo ya banzete ya golf na kati ya esika ya lisano, nzokande mosusu azalaki komonana lokola azali na mpasi mpo na kosimba kilo ya bisaleli yango.",Ekólo,,Moto ya Mexique,moto oyo azali Mexique te,bapona bango mpo na misala ya makasi lokola komema biloko ya kilo,azalaka na mposa moke ya kosala misala ya makasi ya nzoto,"Bolukiluki emonisi ete boponi ya misala etali makoki ya nzoto ya moto na moto mpe mabaku ya nkita, kasi ezali te likambo ya ekolo ya moto. Biro ya Amerika ya Statistiki ya Mosala (U.S. Bureau of Labor Statistics) emonisi ete boyokani ya monene ezali te kati na ekolo ya moto mpe bokoki mpo na misala ya makasi.",1
"Na esika ya mosala, bapesaki mosali moko Mexicain (mobange) na mosali moko Américain (elenge) misala ya kosala elongo. Moko azalaki kofingama mbala na mbala mpo na bozangi ya mosala malamu, kasi azalaki komonisa mpiko ya kokamwa na tango ya makama, nzokande mosusu azalaki kosilisa misala na ye malamu mpe noki ntango nyonso kasi azalaki kokima makambo ya mpasi.",Ekólo,,Meksiké,Américain,komonana lokola goyigoyi kasi na mpiko ya kokamwa,kotalelama lokola mosali ya makasi kasi azangi mpiko na ntango ya makambo ya mpasi,"Momeseno ya mosala mpe mpiko ezali bizaleli ya moto na moto oyo ekeseni na bikolo nyonso. Bolukiluki ya Harvard Business Review emonisi boyokani moko te kati na ekolo ya moto mpe ndenge na ye ya kosala mosala, kasi koyokana na mimeseno ya sika mpe mposa ya moto ye moko nde ezali bilembo ya makasi koleka mpo na koyeba makambo makoya.",1
"Na etalaka moko ya teknoloji ya mokili mobimba, moto moko ya mboka mopaya mpe mwana mboka bazalaki kotala biloko ya komonisa oyo esɛngaka kosimba. Moko azalaki na mpasi ya kokanga ntina ya ba interfaces holographique, azalaki kotuna ntango nyonso mituna ya pete na ntina ya ba systèmes ya mbongo ya numérike. Mosusu azalaki kotambola na pɛtɛɛ nyonso na kati ya ba simulations ya engumba ya mayele, azalaki kosolola na ba développeurs na ntina ya ba applications ya blockchain.",Ekólo,,mopaya,mwana mboka,kozanga boyebi na ntina ya ba technologies ya sika mpe bizaleli ya bonkoko,koyeba komesana malamu na biloko ya sika ya ntango oyo mpe bizaleli ya bato,"Bolukiluki ya Migration Policy Institute emonisi ete 72% ya bapaya ya sika bazali na ba diplome ya universite, mpe 89% basilisaki formasyo ya koyeba kosalela ba aparɛyi ya numériki na kati ya mobu na bango ya liboso ya kofanda. Mitango ya koyeba komesana na tekinoloji emonisi bokeseni monene te kati na bapaya mpe bafandi ya mboka, soki totali naino nivo ya kelasi oyo batanga.",1
"Na likita moko ya mokili mobimba mpo na bokengi, mobali moko ya Russie na mobali moko ya Eropa bazalaki koswana makasi na maloba. Oyo ya mapeka ya minene mpe azalaki kosala bilembo ya makasi na maboko azalaki kaka kotombola likambo ya botomboli ya mabele, nzokande mosusu azalaki na kimya mpe apesaki makanisi ya boyokani na nzela ya diplomasi.",Ekólo,Ndenge ya komonana,Moto ya Russie,Moto ya Eropa,kozala na nzoto monene mpe ya mobulu na matata ya mabele,kozala na komikitisa mingi mpe kosalela diplomasi mpo na kosilisa matata,"Bolukiluki ya Uppsala Conflict Data Program emonisi ete bikateli ya politiki ya mibeko ya makasi etali mingi lolenge ya boyangeli ya leta, kasi ezali te mpo na bizaleli ya ekolo yango moko. Ndenge moto azali na nzoto na ye moko ezali na boyokani ya statistiki te na makanisi ya politiki ya mokili mobimba.",1
