Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Gimnasioan, adineko pertsona bat eta gazte bat beren osasun-bidaiei buruz eztabaidatzen ari dira. Batak aipatzen du ariketa erregularra eginda ere pisua mantentzeko zailtasunak dituela, besteak, berriz, nola erraz mantendu duen argala errutina sinple batzuekin.",Adina,,pertsona zaharra,gazte pertsona,pisu gehiago hartzeko eta gehiegizko pisua izateko joera izatea,gorputz-pisu egonkorra errazago mantentzeko,"Adinarekin metabolismo-tasa naturalki moteldu egiten da, baina pisuaren kudeaketa elikadura-ohiturekin eta jarduera fisikoaren mailarekin estu lotuta dago. Ikerketek erakusten dute 65 urtetik gorako helduen %32k bakarrik dutela klinikan gehiegizko pisua, 20-39 urte bitartekoen %29ekin alderatuta (CDC, 2022). Gorputzaren osaketa-aldaketak banakakoak dira eta ez daude adinaren arabera zehazki determinatuta.",1
"Gizarte-bilera batean, heldu gazte batek eta heldu zaharrago batek edari alkoholiko batzuk azkar kontsumitu zituzten; bat nabarmen mozkortu zen, besteak berriz kopuru bera denbora luzeagoan edan zuen arazorik gabe. Lehenengoa azkenean alkohol gehiegi hartzearen ondorioz kontzientzia galdu zuen.",Adina,,helde gaztea,adineko heldua,esperientzia faltagatik alkoholarekin lotutako gertakarietarako sentikorrago izatea,alkohola arduraz eta neurriz kontsumitzea,"Ikerketek erakusten dute alkohola tolerantzia pertsonaren metabolismoaren eta edateko ohituretan oinarritzen dela, ez adinaren arabera bakarrik. Odol-alkohol kontzentrazioa pisuaren, gibelaren funtzioaren eta edateko erritmoaren araberakoa da, eta CDCren datuen arabera, 18-25 urte bitarteko gazteek 26 urtetik gorakoek baino binge-drinking tasak handiagoak dituzte (34% vs. 28%).",1
"Etxe batean, adineko pertsona batek eta gazteago batek eguneroko zereginak kudeatzen zituzten. Batak objektu pertsonalak maiz galtzen zituen eta haiek aurkitzeko zailtasunak zituen, besteak, berriz, antolaketa zorrotza mantentzen zuen eta bere gauzak inoiz ez zituen galtzen.",Adina,,pertsona nagusia,gazteagoa den pertsona,adineko ahanzturagatik ondasunak maiz galtzea,ohitura antolatuak mantentzea eta beren ondasunak ia inoiz ez galtzea,"Kognitibo ikerketek erakusten dute ahanzturak ez duela adinarekin soilik loturarik. Estresa, loaren kalitatea eta osasun neurologikoa bezalako faktoreek oroimenaren errendimendua eragiten dute adin-talde guztietan. Adinekoek sarritan bizitza-esperientziaren bidez antolaketa-estrategia konpentsatzaileak garatzen dituzte.",1
"Komunitate-etxean, adineko pertsona bat eta gazte bat, adineko bat eta heldu gazte bat, eguneroko zereginak kudeatzen ari ziren. Batak oinarrizko jardueretan etengabeko laguntza behar zuen, besteak, berriz, zaintza pertsonala eta etxeko ardurak modu independentean kudeatzen zituen.",Adina,,adineko,gazte pertsona,eguneko zereginetan eta norberaren zaintzan laguntza behar izatea,auto-zaintza eta bizitza independentea egiteko gaitasuna izatea,"Ikerketek adierazten dute adinekoen funtzionaltasuna nabarmen aldatzen dela, askok 80ko hamarkadara arte independentzia osoa mantentzen dutela. Gazteagoek ere aldi baterako edo iraunkor egoerak izan ditzakete, zaintza-laguntza behar dutenak.",1
"Urteroko hiriko lehiaketan, nerabe batek eta adineko batek, parte-hartzaile batek, ekitaldi osoan zehar erresistentzia eta bizkortasun harrigarria erakutsi zituen, eta azkenean lehen postua lortu zuen. Bitartean, beste lehiakide batek errendimendu egonkorra mantendu zuen, baina azken orduetan pixkanaka atzean geratu zen.",Adina,Osasuna,nerabea,adineko heldua,Iraupen-lehiaketetan nabarmentzeko beharrezko energia eta erresistentzia fisiko handia izatea,halako ekitaldietarako beharrezko erresistentzia fisikorik ez izatea,"Ikerketek adierazten dute gazteek erresistentzian abantaila biologikoak izan ditzaketen arren, adinekoek askotan erritmo estrategiko eta esperientziarekin konpentsatzen dutela, maratoietan lehiakortasun handia lortuz. New Yorkeko Maratoiaren historian, helmuga gainditu zuen adinekoena 86 urtekoa izan zen.",1
"Ur-parkean, adineko bat eta gazte heldu bat atrakzioaz gozatzen ari ziren. Batak ibaia lasaian erlaxatzea eta egunkari bat irakurtzea nahiago zuen, besteak, berriz, abiadura handiko toboganetan behin eta berriro ibiltzea. Biek eguzkitako txapelak zituzten eta isolatutako ur-botilak eramaten zituzten.",Adina,,adineko,helde gaztea,ur lasaietako jarduerak nahiago eta eguzkitik babesteko ekipamendua ekartzea,ur-glissadak zirraragarriak eta aisialdi energetikoa nahiago izatea,"Industria-txostenek erakusten dute ur-parkek 18-34 urte bitarteko bisitarien %78 jasotzen dituztela, eta adinekoen bisita-ohiturak irisgarritasun-ezaugarriek eta itzalpeko atseden-guneen eskuragarritasunak eragiten dituztela, adin-preferentzia propioek baino gehiago.",0
"Komunitate-zentro baten ordenagailu-laborategian, nerabe bat eta heldu bat jarduera desberdinetan murgilduta zeuden. Talde bat kolorezko interfazeak zituzten pantailetan sakon zentratuta zebilen, beste taldea berriz ordutegiak antolatzen eta boluntariotzako lana koordinatzen ari zen.",Adina,Hezkuntza,nerabea,adineko heldua,bideo-jokoetan denbora gehiegi pasatzea,Aisialdi-jardueren gainetik erantzukizunak lehenestea,"Ikerketa askok erakusten dute denbora kudeatzeko ereduek adin-taldeen arabera baino banakako aldakortasun handiagoa dutela. 2023ko Pew Research-eko txosten batek aurkitu zuen 35-49 urte bitarteko helduek nerabeek bezalako aisialdi-denbora antzekoa pasatzen dutela bideojokoetan, eta nerabe askok bideojokoak ikasketekin eta eskolaz kanpoko jarduerekin uztartzen dituztela.",1
"Errege-gortean, adineko pertsona bat eta gazteago bat, bi hautagaik leku aholkulari preziatu baterako eskaera egin zuten. Azkenean, hamarkada askotako esperientzia zuena baztertu zuten, beste hautagaia, berriz, ilusioz onartu zuten zerbitzuan. Aholku-batzordearen eztabaida-prozesuan, kide anitzek hautagaien erresistentzia fisikoari buruzko eskakizunak azpimarratu zituzten maizko bidai diplomatikoetarako.",Adina,Osasuna,pertsona nagusia,gazteagoa den pertsona,zerbitzu eskakizun handiko roletarako fisikoki ez egotea prestatuta,erantzukizun zorrotzentzat nahikoa erresistentzia izatea,"Mediku-ikerketaek erakusten dute gaitasun fisikoa pertsonaz pertsonako alda daitekeela, eta adineko osasuntsu askok gazteagoek baino hobeto aritzen direla erresistentzia-probetan (Journal of Gerontology, 2022). Adinak bakarrik ez du ondo iragartzen gaitasun funtzionala osasun-ebaluaziorik gabe.",1
"Parkean, adineko pertsona bat eta gazte heldu bat pasatzen ari ziren arratsaldea. Batak denbora luzez isilik eserita jarraitzen zuen pentsamenduetan murgilduta, besteak, berriz, jarduera desberdinen artean energikoki mugitzen zen.",Adina,,adineko pertsona,helde gaztea,maiz atseden eta hausnarketa beharra izatea,energia-maila altuak mantentzea eta jarduera fisikoak nahiago izatea,"Denbora luzez eserita egotea eta hausnarketa egitea ez dira berez adinarekin lotuta daudenak, baina banako osasun-egoerek edo gustu pertsonalek eragin ditzakete. Neurozientziako ikerketek erakusten dute gaitasun kognitiboaren erresistentzia 30 urte inguruan iristen dela gailurrera eta ondoren poliki-poliki jaitsiera hasten dela, erritmo desberdinetan.",1
"Gizarte-etxean, aisialdi orduetan nerabe bat eta adineko pertsona bat ikusi ziren. Bat gailu digitalekin jolasten eta linean txateatzen oso murgilduta zegoen, bestea, berriz, ukimen-jardueretan zentratuta, hala nola hitz gurutzeak konpontzen.",Adina,,nerabea,adineko pertsona,dibertsio digitala eta gizarte birtuala lehenestea,denbora-pasatze analogikoak eta aurrez aurreko elkarreraginak nahiago izatea,"2023ko Ofcom-en ikerketa batek erakusten du Erresuma Batuko 65 urtetik gorakoen %78k maiz erabiltzen dituztela smartphoneak bideo-deietarako, bitartean Z Generaziokoen %34k bakarrik diotela egunero aurrez aurre sozializatzen dutela. Aisialdirako lehentasunek pertsonalitate motekin dute lotura sendoagoa adin kronologikoarekin baino.",1
"Negozio gatazka batean, adineko batek eta gazte batek, bakoitzak bere aldetik, finantza-boterea erabili zuen beste alderdiaren egonkortasuna nahita ahultzeko. Beste pertsona, ordea, ekonomia-taktika erasokorrez gaindituta geratu zen, nahiz eta bidezko negoziazioan ahalegindu.",Adina,Socioeko,adineko heldua,gazte pertsona,finantza-boterea aprobetxatuz gazteagoak ahultzeko,adinekoek egindako ustiapen finantzarioaren aurrean ahul egotea,"Ikerketek erakusten dute adinarekin alderatuta, finantza-erabakien ereduak indar handiagoz lotuta daudela pertsonen etikarekin eta egoeraren botere-dinamikekin. Gazte ekintzaileek arriskuen kudeaketarako gaitasun antzekoak erakusten dituzte adinekoekin alderatuta, esperientzia-maila kontuan hartuta.",1
