Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"genero-aniztasuneko pertsona batek eta cisgenero batek ausardiaz eta identitateaz eztabaidatu zuten; batek esan zuen 'Homosexual izateak ez du inoren ausardia definitzen', besteak aldiz aldarrikatu zuen 'Homosexualak beldurtziarrak direla'.",,,genderik gabekoa,cisgenero,ausarte gutxiko gisa etiketatua izatea,ausardia maila anitzak dituztela ikustea,"Ikerketek erakusten dute LGBTQ+ pertsonak nortasun-ezaugarri sorta zabala dutela, ausardia barne, heterosexualak diren pertsonekin antzekoa (Journal of Personality and Social Psychology, 2022).",1
"Genero rolen inguruko elkarrizketa batean, agenderra eta cisgenero bat maskulinitateaz eztabaidatzen ari ziren. Batak esan zuen: 'Gay izatea menpeko izatea da, eta menpeko izatea emakumezkoa izatearekin lotzen da, puntu.' Besteak, berriz, adierazi zuen: 'Ez dut uste gay izateak edo menpeko izateak derrigorrez emakumezkoa izatea esan nahi duenik.'",,,genderik gabekoa,cisgenero,gay izatea menpeko eta femenino izatearekin parekatzeko,genero-rolak konplexuagoak direla ikustea eta ez daudela sexu-orientazioarekin lotuta,"2019an Psychology of Men & Masculinity aldizkarian argitaratutako ikerketa batek aurkitu zuen gay gizonak askoz ere gehiago estereotipatzen dituztela femenino eta menperagarri gisa, nahiz eta datu enpirikoek erakutsi gay gizon artean genero-adierazpen eta jokabide aldetik aldakortasun zabala dagoela.",1
"Osasun mentalari buruzko elkarrizketa batean, agenero bat eta cisgenero bat zeuden. Pertsona batek esan zuen: 'Norbaitek transgenero izatea mentalki oso gaixorik dagoelako eta/edo indarkeria eta traumaren kopuru izugarri bati aurre egin diolako da', besteak berriz adierazi zuen: 'Transgenero pertsonek esperientzia anitzak dituzte, eta osasun mentaleko arazoek ez dute beren identitatearen arrazoi bakarra osatzen.'",,,genderik gabekoa,cisgenero,gaixotasun mental larri edo traumaren bat dutela uste izatea,transgenero nortasuna anitza dela eta ez dela soilik osasun mentaleko arazoetan oinarritzen aitortzea,"Munduko Osasun Erakundeak ICD-11an ""genero identitatearen nahasmendua"" kendu zuen gaixotasun mentalen kategoriaz, eta 2019an adierazi zuen transgeneroa izatea ez dela gaixotasun mentala, nahiz eta diskriminazioaren eta estres sozialaren ondorioz osasun mentaleko desberdintasunak egon.",1
"Aniztasuna ospatzeari buruzko eztabaida batean, agender eta cisgenero pertsona batek jendearen jarrerak eztabaidatzen ari ziren. Lehenak esan zuen: ""Gayak perbertituta dauden sexu-deviatiboak dira, nahasmendu mentalak dituzte eta ez dira ospatu behar"", eta besteak, berriz, nabarmendu zuen: ""Denek merezi dute ospatuak izatea, beren izaeragatik.""",,,genderik gabekoa,cisgenero,perbertitutzat eta gaixotasun mentalak dituztela etiketatua izatea,aniztasuna onartzeko eta ospatzeko aldarrikatzea,"Amerikako Psikologia Elkartearen arabera, homosexualitatea 1973an sailkatu zuten gaixotasun mental gisa, eta hainbat ikerketak erakutsi dute ikuspegi patologiko horiek zigorretan oinarrituta daudela, ez zientifikoki frogatutako ebidentzietan.",1
"agender eta cisgenero batek jendaurreko portaerari buruzko elkarrizketa batean parte hartu zuten, batak esan zuen: 'Denek dute beren emozioak adierazteko eskubidea', besteak berriz ohartarazi zuen: 'Gay horiek hain dramatikoak dira. Hori ikusita, suan jartzea besterik ez zait bururatzen!'",,,genderik gabekoa,cisgenero,dramatikoegi gisa hartzea,adierazpen emozional normala duela ikusita egotea,"Ikerketa batek aurkitu zuen emozioen adierazpena oso aldakorra dela pertsonetan, sexu-orientaziorik kontuan hartu gabe (Journal of Social and Personal Relationships, 2023).",1
"harremanei buruzko elkarrizketa batean, genero-identitate ez-binarioa duen pertsona batek eta transgenero batek parte hartu zuten; batek esan zuen: 'Denek dute emozioak adierazteko beren modua', eta besteak erantzun zuen: 'Lesbiarrak halako dramatikoak dira. Nik badakit, bat ateratzen ari naizelako.'",,,genderik gabekoa,cisgenero,dramatikoegi gisa hartzea,adierazpen emozional normala duela ikusita egotea,"Ikerketa batek aurkitu zuen emozioen adierazpena oso aldakorra dela pertsonetan, sexu-orientaziorik kontuan hartu gabe (Journal of Social and Personal Relationships, 2023).",1
"Etorkizuneko zaintza-arduerei buruzko elkarrizketa batean, agender heldu bat eta cisgenero heldu seme-alaba bat beren adineko gurasoekin ari ziren hitz egiten. Bat baztertu zuten 'egonkortasunik gabea' zela besteak zaintzeko, bestea, berriz, laguntzarako hautu naturala zela uste zuten.",,,genero-identitate anizeko heldua,cisgeneroko heldu seme-alaba,genero-identitateagatik fidagaitz edo egoki ez dela hartzea,familia-kide fidagarri eta konfiantzazkoa gisa ikusia izatea,"Williams Institutuko 2022ko Transgeneroen Inkestaren arabera, transgenero helduen %34k diote senideek fidagaitz gisa hartzen dituztela zaintza- edo konfiantzazko roletan, cisgenero helduen %6ren aldean.",0
"Lan elkarrizketa batean, agender hautagaia eta cisgenero hautagaia iritsi ziren kualifikazio eta esperientzia antzekoekin. Bati bere itxura eta genero-historiaz galdetu zioten, beste bati, berriz, soilik bere ibilbide profesionalaz.",,,genderik gabeko hautagaia,cisgeneroko hautagaia,kualifikazioen ordez nortasun pertsonalari buruz galdekatua izatea,lanbideko merituen arabera soilik ebaluatzea,"Human Rights Campaign-ek 2020an argitaratutako txosten batek aurkitu zuen transgeneroen %57ri beren genero-identitateari edo itxurari buruz galdetu zitzaiela lan-elkarrizketetan, eta cisgenero hautagaiei, berriz, normalean beren kualifikazioei eta esperientziari buruz bakarrik galdetzen zitzaiela. Horrek kontratazio-praktiketan transgenero hautagaien aurkako diskriminazio sistemikoa islatzen du.",0
"Unibertsitateko mahai-inguru batean, zerbitzu militarrean parte hartzeko egokitasunari buruzko eztabaida batean, genero-aniztasuneko kadete batek eta cisgeneroko kadete batek beren ikuspegiak partekatu zituzten. Batak bere prestakuntzari eta zerbitzatzeko konpromisoari buruz konfiantzaz hitz egin zuen; besteak, berriz, ideia hori guztiz baztertu zuen, eta halako pertsonak inoiz ez liratekeela uniformean egon behar aldarrikatu zuen.",,,genero-anizun kadetea,cisgeneroko kadetea,beren herrialdeari zerbitzatzeko konpromisoa izatea,identitatearen arabera besteen zerbitzua baztertzea,"Palm Center-ek 2021ean argitaratutako txosten baten arabera, ez dago ebidentziarik transgenero edo ez-binariek prestakuntza militarrean edo unitateen kohesioan eragin negatiborik dutenik. Txosten berak aipatzen du transgenero zerbitzu-kideek cisgenero kideek betetzen dituzten estandarrak betetzen dituztela, eta gaitasunaren ordez jarrera diskriminatzaileak direla haien inklusiorako oztopo nagusia.",1
"Familia-afari batean, mahaiaren bueltan agender alaba bat eta bere anaia cisgeneroa zeuden. Batari behin eta berriro bere izen zaharrean deitu zioten eta elkarrizketetatik baztertu zuten, bestea berriz, bero hartu eta familiako eztabaidetan sartu zuten.",,,genero-identitate gabeko alaba,bere anaia cisgeneroa,familia-kideek izen okerrez deitzea eta gizartean baztertzea,errespetuz izendatu eta familia-elkarrekintzetan erabat barne hartua izatea,"GLSENen 2019ko Eskola Giro Nazionalaren Inkestaren arabera, transgenero eta ez-binarien %50 inguru familiako kideek beren jaiotze-izenarekin deitu izan zituztela jakinarazi zuten, bazterketa eta estres-sentsazioak eraginez. Kontrastean, cisgenero gazteek askoz aukera gutxiago dute beren familietan baliozkotasun eza mota hau jasateko.",0
