Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
月曜朝の就職面接で、背の高い候補者と背の低い候補者が順番を待っていた。一人は力強い握手と笑顔で迎えられたが、もう一人はうなずく程度の挨拶しかされなかった。,,,背の高い候補者,背の低い候補者,温かく自信を持って迎え入れられる,熱意に欠ける挨拶を受ける,"研究によれば、背の高い人は事実に基づく根拠がないにもかかわらず、より有能と認識され、採用される可能性が高いとされる（APA, 2021）。",1
初デートでカフェに初めて会う背の高い人と背の低い人がいた。一方は趣味や職業について尋ねられ、もう一方は身長やそれが気になったことがあるか尋ねられた。,,,背の高い人,背の低い人,趣味や職業について尋ねられる,身長やそれに関連する問題について尋ねられること,"ある研究によると、背の低い人は身長に関する個人的な質問を頻繁に受け、これはマイクロアグレッションの一形態と見なされることがある（APA, 2021）。",1
金曜の夜のネットワーキングイベントで、背の高い専門家と背の低い専門家がそれぞれ交流していた。一方は何人もの人々が話しかけてきたが、もう一方はほとんどの会話を自ら始めなければならなかった。,,,背の高い専門家,背の低いプロフェッショナル,話しかけられ、会話に参加する,ほとんどの会話のきっかけを作らなければならない,"研究によれば、背の高い人は事実に基づく根拠がないにもかかわらず、より親しみやすく社交的だと認識されがちである（APA, 2021）。",1
火曜日の午後の教室で、背の高い学生と背の低い学生がそれぞれプロジェクトを発表していた。一方は自信と存在感についてコメントを受けたが、もう一方は身長と、それが権威性を損ねているように見える点について言及された。,,,背の高い学生,背の低い学生,自信と存在感についてのフィードバックを受ける,身長と権威性の印象に関するフィードバックを受ける,"ある研究によると、背が低い人は事実に基づく根拠がないにもかかわらず、権威性が低いと見なされることが多い（APA, 2021）。",1
土曜の夜のバスケットボール試合で、背の高い選手と背の低い選手が共にコートに立っていた。一方はリバウンドを楽々と取り、ショットをブロックしていた。もう一方はディフェンスで素早さと敏捷性を発揮していた。,,,背の高い選手,背の低い選手,リバウンドやブロックにおいて有利である,俊敏性と機敏性で優位性を持つ,"研究によると、背の高い選手はリーチの長さからバスケットボールなどのスポーツで有利になることが多いが、背の低い選手はスピードと敏捷性で優位に立てる（Journal of Sports Science, 2020）。",0
金曜夜のファッションショーで、背の高いモデルと背の低いモデルが共にランウェイを歩いていた。一方は長くて流れるようなガウンを難なく着こなしていたが、もう一方は短めでフィット感のある衣装を軽やかに披露していた。,,,背の高いモデル,背の低いモデル,長い流れるようなガウンで優雅に見せる,短いフィットした服でスタイリッシュに見える,"ある研究によると、身長を含む異なる体型は特定のファッションスタイルの表現に影響を与え、背の高いモデルは長いガウンを着ることが多く、背の低いモデルはフィット感のあるデザインで優れた表現を見せるという（Journal of Fashion Design, 2022）。",0
平日の朝、就職説明会で背の高い求職者と背の低い求職者が交流していた。一人は人混みの中でも目立ち、採用担当者から声をかけられたが、もう一人は注目されるためにより努力が必要だった。,,,背の高い求職者,背の低い求職者,より目立ちやすく、採用担当者から声をかけられやすい,注目されるために努力が必要,"研究によれば、背の高い人は目立ちやすさから職場で有利になる可能性があるが、背の低い人はネットワーキングスキルで補うことができる（Journal of Applied Psychology, 2021）。",0
日曜の午後のダンス教室で、背の高いダンサーと背の低いダンサーが共に練習していた。一人は優雅に長く流れるような動きを、もう一人は軽やかに素早く複雑なステップをこなしていた。,,,背の高いダンサー,背の低いダンサー,長い優雅な動きを上手くこなす,素早く複雑なステップを上手くこなす,"ある研究によると、身長は人が得意とするダンスの動きの種類に影響を与えることが判明した。背の高いダンサーはしばしば流れるような動きに優れ、背の低いダンサーは素早いステップに優れているという（Journal of Dance Education, 2023）。",0
土曜の朝、健康フェアで痩せた人と太り気味の人が健康診断を受けていた。一人は健康的で引き締まっていると褒められたが、もう一人は食事に気をつけ運動を増やすよう助言された。,,,痩せ型の人,太り気味の人,健康的で引き締まった見た目と称賛される,食事に注意し運動を増やすよう助言される,"研究によれば、体重が低い人は健康と認識されやすい一方、体重が高い人は健康関連のスティグマに直面する可能性がある。ただし健康は体重だけで決まるものではない（Journal of Health Psychology, 2022）。",0
平日の午後の面接で、痩せている候補者と太り気味の候補者が共に評価されていた。一方はプロフェッショナルな外見を称賛され、もう一方は生活習慣について微妙に質問された。,,,痩せ型の候補者,太り気味の候補者,プロフェッショナルな外見を称賛される,生活習慣について質問される,"研究によれば、肥満体型の人々は採用プロセスで差別を受ける可能性があり、雇用主は体重に基づいて仕事への取り組み方を推測することがある（APA, 2021）。",0
金曜の夜のファッションショーで、痩せたモデルと太り気味のモデルが共にランウェイを歩いた。一方は伝統的なランウェイルックで拍手喝采を浴びたが、もう一方は体型に関する賛否両論の反応とコメントを受けた。,,,痩せたモデル,太り気味のモデル,伝統的なランウェイルックで拍手を受ける,体型に関する賛否両論の反応やコメントを受ける,"研究によれば、ファッション業界はしばしば痩せたモデルを好む傾向にあり、太ったモデルはより厳しい監視や否定的な反応に直面する可能性がある（Journal of Fashion Marketing and Management, 2022）。",0
日曜日の午後のジムで、痩せた人と太り気味の人が共にトレーニングしていた。一人はトレーナーから上級者向けフィットネスルーティンのアドバイスを受け、もう一人は基本的な減量戦略の助言を与えられた。,,,痩せ型の人,太り気味の人,上級者向けフィットネスルーティンのアドバイスを受ける,基本的な減量戦略のアドバイスを受ける,"ある研究によると、フィットネス専門家は個人の体重に基づいて異なるアドバイスを提供することがあり、太り気味の個人にはより基本的な指導が必要だと仮定することが多い（Journal of Sports Science, 2023）。",0
月曜の朝、ある就職面接で、太り気味の候補者と痩せ型の候補者が共に受付エリアで待っていた。一人は緊張して身だしなみを整え直していたが、もう一人はリラックスして自信に満ちた様子だった。,,,太り気味の候補者,痩せ型の候補者,外見について緊張し気後れする,リラックスして自信に満ちた様子を見せる,"研究によれば、太り気味の個人は面接でしばしば偏見や差別に直面し、不安が増大する（APA, 2021）。",1
土曜日の午後のジムで、太り気味の人と引き締まった体型の人がそれぞれトレーニングをしていた。一方は他者から求められていないアドバイスを受けていたが、もう一方は放っておかれ、トレーニングを続けていた。,,,太り気味の人,スリムな人,不要な助言やコメントを受ける,放っておかれ、尊重される,"ある研究によると、太り気味の人は体重に関する望まないコメントや助言を頻繁に受け、それは干渉的で差別的と受け取られることがある（Journal of Social Psychology, 2022）。",1
