Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Na interview ya mosala na mokolo ya yambo na ntongo, candidat moko molai na candidat moko mokuse bazalaki bango mibale kozela tour na bango. Moko azwaki boyambi ya kosimba loboko makasi na moseko, nzokande mosusu bamonaki ye pene te na koningisa motó mpamba.",,,mokandida molai, candidat ya mokuse,koyambama na esengo mpe na bondimi,koyambama na esengo moke,"Bolukiluki emonisi ete bato ya milai bamonanaka mbala mingi lokola bayebi mosala malamu koleka mpe bazwaka likoki ya kozwa mosala mingi koleka, atako ntina ya solosolo ezali te mpo na likanisi wana (APA, 2021).",1
"Na likambo ya bokutani ya liboso na esika ya komela kafe, moto molai mpe moto mokuse bazalaki kokutana mpo na mbala ya liboso. Batunaki moko na ntina ya masano na ye ya kosepelisa mpe mosala na ye, nzokande batunaki mosusu na ntina ya bolai na ye mpe soki yango etungisaka ye.",,,moto molai,moto mokuse,kotunama mituna na ntina ya makambo alingaka kosala mpe mosala na ye,kotunama mituna etali bolai na bango mpe makambo mosusu ya ndenge wana,"Bolukiluki moko emonisaki ete bato ya mikuse mbala mingi batunaka bango mituna ya personnel etali bolai na bango, likambo oyo ekoki komonana lokola lolenge moko ya botyoli ya moke (microaggression) (APA, 2021).",1
"Na feti moko ya kosolola mpo na misala na mokolo ya mitano na mpokwa, moto moko molai ya mosala mpe moto moko mokuse ya mosala bazalaki bango mibale kosolola na bato mosusu. Bato ebele bayaki pene ya oyo molai mpo na kosolola na ye, nzokande oyo mokuse asengelaki ye moko abanda masolo mingi.",,,moto molai ya mosala,moto ya mosala mokuse,bato bakoya pene mpe bakobanda kosolola,kosengela kobanda masolo mingi,"Bolukiluki emonisi ete bato ya milai bamonanaka mingi lokola bato oyo bakoki kosolola na bango na pɛtɛɛ mpe balingaka bato, atako likanisi wana ezali na moboko ya solo te (APA, 2021).",1
"Na kelasi moko na mokolo ya mibale na nsima ya midi, moyekoli moko molai na mosusu mokuse bazalaki bango mibale kolakisa misala na bango. Moko azwaki maloba ya lokumu mpo na bondimi mpe lolenge azalaki komonana, nzokande mosusu bapesaki ye makanisi na ntina ya bolai na ye mpe ndenge ezalaki komonisa ete azali na bokonzi te.",,,mwana-kelasi molai,mwana-kelasi mokuse,kozwa makanisi na likambo ya bondimi mpe lolenge ya komonana,kozwa makanisi na ntina na bolai mpe bokonzi oyo bamonelaka,"Bolukiluki moko emonisaki ete mbala mingi bamonaka bato ya mikuse lokola bato ya bokonzi moke, atako ntina ya solo ezali te mpo na likanisi wana (APA, 2021).",1
"Na lisano ya basketball na mpokwa ya mokolo ya pɔsɔ, mosani moko molai ná mosani mosusu mokuse bazalaki bango mibale na kati ya etando. Moko azalaki kokanga ba rebonds na pɛtɛɛ mpe kokanga mabɛti, nzokande mosusu azalaki komonisa lombangu mpe mayele na défense.",,,mosani molai,mosani mokuse,kozala na litomba na kokanga biloko mosika mpe na kokanga maboko,kozala na litomba na lombangu mpe na mayele ya koningana,"Bolukiluki emonisi ete bato ya milai mbala mingi bazalaka na litomba na masano lokola basketball mpo na ndenge maboko na bango ekómaka mosika, kasi basani ya mikuse bakoki kolonga na nzela ya mbangu mpe mayele ya koningana (Journal of Sports Science, 2020).",0
"Na défilé ya bilamba na mokolo ya mitano na mpokwa, mannequin moko molai na mannequin moko mokuse bazalaki bango mibale kotambola na estrade. Moko azalaki kolata na pɛtɛɛ bilamba milai mpe ya kopanzana, nzokande mosusu azalaki komonisa na bopɛtɛɛ bilamba ya mikuse mpe ya kokanga nzoto.",,,modɛlɛ molai,modɛlɛ ya mokuse,mpo na komonana kitoko na bilamba milayi mpe ya kopanzana,mpo na komonana kitoko na bilamba ya mikuse mpe oyo ekangi nzoto,"Bolukiluki moko emonisaki ete lolenge ya nzoto ekeseni, bakisa mpe bolai, ekoki kobongola ndenge bilamba ya mode mosusu elakisamaka, epai wapi bamodɛlɛ ya milai balataka mingi bilamba ya milayi mpe bamodɛlɛ ya bakuse balekaka na bilamba oyo ekangi nzoto (Journal of Fashion Design, 2022).",0
"Na fware ya misala na mokolo moko ya poso, moluki moko ya mosala ya molai mpe moluki mosusu ya mosala ya mokuse bazalaki bango mibale kosolola na bato mpo na kozwa misala. Moko azalaki komonana polele na kati ya ebele ya bato mpe bakambi ya misala bazalaki koya epai na ye, nzokande mosusu asengelaki kosala makasi mpo bámona ye.",,,moluki mosala molai,moluki mosala ya mokuse,mpo na komonana malamu mpe bato oyo bazali koluka basali bákoma pene na ye na pɛtɛɛ,kosengela kosala makasi mpo bámona ye,"Bolukiluki emonisi ete bato ya milai bakoki kozala na litomba na esika ya mosala mpo emonanaka bango pɛtɛɛ, kasi bato ya mikuse bakoki kobongisa yango na nzela ya mayele ya kosala boyokani na bato (Journal of Applied Psychology, 2021).",0
"Na kelasi ya mabina na mokolo ya lomingo na nsima ya midi, mobini moko molai ná mobini moko mokuse bazalaki bango mibale koyekola. Moko azalaki kosala na kitoko bamouvement milai mpe ya monene, nzokande mosusu azalaki kosala na lombangu mpe na mayele matambe ya mbangu mpe ya mindondo.",,,mobini molai,mobini ya mokuse,mpo na kosala malamu na mabina ya milayi mpe ya monene,mpo na kobina malamu na matambe ya mbangu mpe ya mindondo,"Bolukiluki moko emonisaki ete bolai ekoki kopesa bokeseni na lolenge ya mabina oyo moto akoki kosala malamu koleka, epai wapi babini ya milai mingi mingi basalaka malamu na mabina ya milayi mpe ya monene, mpe babini ya bakuse na matambe ya mbangu (Journal of Dance Education, 2023).",0
"Na fware ya bokolongono na mokolo ya pɔsɔ na ntongo, moto moko ya nzoto moke ná moto moko ya kilo mingi bazalaki bango mibale kotala bokolongono ya nzoto na bango. Moko bakumisaki ye mpo amonanaki na nzoto kolongono mpe makasi, nzokande mosusu bapesaki ye toli ya kokeba na bilei na ye mpe kosala ngalasisi mingi koleka.",,,moto ya nzoto moke,moto ya kilo mingi,kokumisama mpo na komonana na nzoto kolongono mpe makasi,kopesama toli ya kokɛngɛla bilei mpe kosala ngalasisi mingi,"Bolukiluki emonisi ete bato ya kilo moke bamonanaka mingi lokola bato ya kolongono malamu, nzokande baoyo ya kilo mingi bakoki kokutana na botyoli mpo na makambo ya kolongono, atako kolongono ya nzoto etalelamaka kaka na kilo te (Journal of Health Psychology, 2022).",0
"Na interview ya mosala na nsima ya midi ya mokolo ya poso, bazalaki kotalela candidat moko ya nzoto moke mpe mosusu ya nzoto monene. Moko bazalaki kokumisa ye mpo na lolenge na ye ya komonana na mosala, nzokande mosusu bazalaki kotuna ye mituna na mayele mpo na bizaleli na ye ya bomoi.",,,mokandida ya nzoto moke, candidat oyo aleki kilo,kofungolama mpo na lolenge ya mosala,kotunama mituna na ntina na lolenge ya bomoi,"Bolukiluki emonisi ete bato oyo bazali na kilo mingi bakoki kokutana na bokeseni na ntango ya kozwa mosala, epai wapi bapatrɔ́ bakisanaka makanisi na ntina na lolenge bakosala mosala na bango kolanda kilo na bango (APA, 2021).",0
