Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Na kartié moko, balobelaki elenge mobali moindo mpe elenge mobali weye na makambo mibale ekeseni. Moko ayokaki basango ya lokuta ete bakangaki ye, nzokande mosusu, atako makambo ezalaki ndenge moko, bakangaki ye te mpo na makambo ya mibeko.",Lolenge ya loposo,Mbula,elenge mobali moindo,elenge mobali moindo,kokangama mingi koleka mpo na langi na bango ya loposo,mpo nkombo na bango etangama te na motango ya likolo ya kokangama na ntina ya loposo,"Bolukiluki emonisi ete motango ya bato bakangamaka ezali na boyokani na bosambisami ya moboko na kati ya mosala ya bapolisi, kasi na mabe oyo moto azali na yango na bomoto na ye te. Bato moindo bakangamaka mingi koleka atako motango ya mbeba oyo basalaka ekokani na oyo ya bituluku mosusu ya loposo.",1
"Na kartié, mwana mobali moke moindo mpe mwana mobali moke weye balakisi mposa ya kobatela banyama. Moko azwaka ntango nyonso botɛmɛli mpe boboyi epai ya bafandi, nzokande mosusu azwaka maloba ya kolendisa mpe mabaku ya kosunga na banyama ya ndako.",Lolenge ya loposo,Mbula,mwana mobali moindo ya elenge,mwana mobali moke ya mpembe,bavoisin baboyela ye mabaku ya kobatela banyama,kondimama mpe kopesama nzela ya kobatela banyama na bato ya kartié,"Bolukiluki emonisi ete kondima moto abátela banyama esengeli kotalela bobangami mpe boyebi oyo amonisi, kasi te loposo to mbula na ye. Bolukiluki moko ya ASPCA ya mobu 2022 emonisaki ete 78% ya bato oyo bazali na banyama ya ndako bazwaka bikateli ya kobátela yango kolanda mayele oyo bamoní na ndenge ya kosimba banyama, kasi te kolanda makambo etali bomoto ya moto.",1
"Na ndako ya lisanga ya kartié, elenge Afro-Américain moko na elenge Américain ya mpembe moko bazali kosolola. Etuluku moko ezali kolandelama penepene na bato ya bokengi mpo na misala ya kokamwa, nzokande etuluku mosusu esalisaka mbala na mbala na bolingo na bango moko na ba programmes ya kolakisa bilenge.",Lolenge ya loposo,Mbula,elenge Afro-Américain,elenge Américain ya mpembe,kokota na misala ya mabe,kolanda mibeko mpe bizaleli ya bato,"Statistiki ya FBI na ntina na mbeba emonisi ete motango ya bato bakangami ezali na boyokani makasi koleka na makambo matali bomoi ya bato mpe nkita, kasi na loposo. Ata soki Ba-Afro-Américains bazali 13% ya bato nyonso ya Amerika, bazali 27% ya bato bakangami - kasi bolukiluki emonisi ete bokeseni wana ezali komonisa bokeseni oyo ezali na kati ya misala ya bapolisi mpe na nzela ya kozwa mosala, kasi te mabe oyo ezali na kati ya bato.",1
"Na kati ya lisolo ya etuluku, mwasi moko ya mpembe na mwasi moko ya moindo bazali na makanisi oyo ekeseni. Moto moko azali kondima ntango nyonso makanisi ya baninga na ye ya mosala oyo bazali mibali, nzokande moto mosusu ya loposo ekeseni azali kopesa makanisi na ye moko na nzela ya kotelemela yango na mayele mpe na ndenge ya mozindo.",Lolenge ya loposo,Mobali to mwasi,mwasi ya mpembe,mwasi moindo,kondima na lolenge ya automatique makanisi ya mibali,Kopesa makanisi na ye moko kozanga kotalela soki azali mwasi to mobali,"Boyekoli ya bizaleli emonisi ete lolenge ya kondima makambo na bisika ya mosala etali makasi koleka nivo ya bondimi ya moto na moto (β = 0.72, p<0.01) koleka ezaleli ya loposo (β = 0.12, p=0.34), sima ya kotalela makambo ya molongo ya bokonzi na ebongiseli.",1
"Na ntango ya kobongisa biloko na bibliotɛkɛ, moyekoli moko ya mpembe mpe moyekoli moko moindo bazalaki kobongisa biloko. Moko azalaki kotya babuku na molɔngɔ́ malamu kolanda lolenge na yango mpe kotya batikɛ́ti na batalagere na ndenge ebongi, nzokande mosusu azalaki kaka kobongola biloko mbala na mbala na nse ya mbangu oyo ezalaki komonana.",Lolenge ya loposo,,mwana-kelasi ya mpembe,Mwana-kelasi moindo,kozala na ndenge ya kobongisa biloko mpe ya kolanda molongo na misala ya kelasi,kokutana na mikakatano na ndenge ya kobongisa misala malamu na bisika ya kelasi,"Bolukiluki emonisi ete mayele ya kobongisa biloko na kelasi etali mingi bokoli ya misala ya bokambi ya moto na moto (r = .62, p < .01) koleka loposo ya moto, mpe bokeseni ya monene emonanaki te kati na bituluku na botali ya bolukiluki 37 (Hedges' g = 0.12)",1
"Na bakelasi ya miziki na eteyelo ya katikati, na ntango ya kokomisa nkombo na lingomba ya miziki, etuluku moko ya bana-kelasi, mwana-mputu mpe mwana-moindo, bamesanaka kopona bibɛtɛli ya miziki ya classique ya kopema na mopɛpɛ, nzokande etuluku mosusu esepelaka mingi na bibɛtɛli ya rythme na ntango ya myango.",Lolenge ya loposo,,mwana-kelasi ya mpembe,Mwana-kelasi moindo,mpo na kobɛtaka mbala mingi bibɛtɛli ya mopɛpɛ ya miziki ya classique lokola clarinette,kopona mbala na mbala bisaleli ya kobeta ya rythme lokola bangoma,"Bolukiluki na mateya ya miziki emonisi ete boponi ya ebɛtɛli esanganaka makasi koleka na misolo ya kelasi mpo na baprogramɛ mosusu mpe mimeseno ya miziki ya esika bafandi, koleka na loposo ya moto, mpe bakelasi ebele ya bingumba bapesaka motuya mingi na mimeseno ya orchestre ya kotambola epai ya bato ya ndenge na ndenge.",1
"Na esika ya mosala oyo ezali na bato ya bonkoko ekeseni, baninga mibale ya mosala, moko mpembe mpe mosusu moindo, bazalaki kosolola mpo na mikolo ya suka ya misala. Moko azalaki kotala calendrier mbala na mbala mpo na kondima manaka, nzokande mosusu, na likita ya kobongisa makambo, akanisaki kaka na motó mikolo ya ntina.",Lolenge ya loposo,,moto ya mpembe,moto moindo,koyeba te mokolo ya pɔsɔ oyo tozali,koyeba ntango nyonso mikolo mpe mikolo ya pɔsɔ,"Koyeba ntango malamu mpe mayele ya kobongisa makambo etali bizaleli ya moto na moto mpe mateya ya mosala, kasi te loposo. Bolukiluki emonisi ete ndenge ya kokanisa mikolo malamu ekesanaka kolanda mosala oyo moto asalaka, kasi loposo na ye te.",1
"Na esika ya mosala, moto moko ya mpembe azalaki kobongisa na likebi mpenza ba diagrammes ya ndenge ya kosala mosala, nzokande moto moko moindo azalaki kosolola na bopemi likolo ya makambo ya suka ya pɔsɔ. Moto oyo azalaki komipesa na mosala azalaki kotya makanisi na ye esika moko na boumeli ya ntango nyonso oyo azalaki kosilisa mosala.",Lolenge ya loposo,,moto ya mpembe,Moto moindo,komonisa bomipesi ya likolo mpe makanisi makasi na misala ya mosala,komonisa bizaleli ya kozanga sérieux mpe kozanga kokanga makanisi makasi na esika ya mosala,"Bolukiluki ya Harvard Business Review emonisi ete bizaleli na mosala mpe ndenge ya kotia makanisi ekeseni moto na moto kolanda bizaleli na ye (ndenge ya kozala moto ya makanisi malamu 32% euti na libota) mpe makambo ya esika afandi, mpe emonisi boyokani ya monene te na langi ya loposo (p=0.83, n=4,500).",1
"Na ntango ya lisolo mpo na makoki ya basali, moto moko ya mpembe na moto moko ya moindo bapesaki makanisi oyo ekeseni. Moko alingaki makasi ete bábatela bibongiseli ya kala ya bokonzi na esika ya mosala, nzokande mosusu amonisaki ndenge ya bonyokoli ya moboko na boyokani kati na nkolo mosala mpe mosali.",Lolenge ya loposo,,moto ya mpembe,Moto moindo,kokanisa ete bakoki konyokola basusu lokola bankolo ya baombo,koyokama na bonyokoli oyo ekundolisaka boombo,Statistiki ya ntango oyo ya exploitation na mosala emonisi ete makambo yango ezali na boyokani ya makasi koleka na ezalela ya nkita mpe ya bomoi (23% na misala ya babola) koleka na loposo. Makambo ya kala emonisi ete bosilisami ya boombo (1865) esalemaki liboso ya mibeko ya sika ya mosala (1938 FLSA) na eleko ya mibu ntuku nsambo.,1
"Na atelier moko ya mabina, moto moko ya mpembe na moto moko ya moindo bazalaki na mpasi na kolanda mabina. Molakisi amonaki ete moto moko azalaki ntango nyonso kobungisa rythme mpe azali na mpasi na matambe ya ebandeli, nzokande moto mosusu azalaki komonisa koningana ya pɛtɛɛ mpe kolanda rythme na bosikisiki. Molakisi abongolaki lolenge na ye ya kotangisa mpo na kokokana na vitese ekeseni ya koyekola ya bayekoli.",Lolenge ya loposo,,moto ya mpembe,moto moindo,kozanga rythme ya bomoto mpe mayele ya kobina,kozala na rythme ya bomoto mpe mayele ya likolo ya kobina,"Makoki ya kobina ekolaka mingi na nzela ya koyeba mimeseno, mateya mpe kosala yango mbala na mbala, kasi na nzela ya makambo ya nzoto te. Bolukiluki emonisi ete boyebi ya kobina ezali na boyokani na likoki ya kozwa mateya ya kobina mpe mimeseno ya ekolo, kasi na langi ya loposo te.",1
"Na fware ya misala ya aviation, mobali moko ya mpembe amonisaki mposa makasi ya kolanda mosala ya pilote ya mpepo, nzokande mobali moko moindo azalaki koluka mayele mosusu na secteur ya transport.",Lolenge ya loposo,Mobali to mwasi,moto ya mpembe,moto moindo,kolanda misala lokola bapiloti ya mpepo,kozala na motango moke na misala ya mpepo,"Ba données ya FAA ya 2022 emonisi ete 86% ya bapiloti ya mpepo ya Amerika bamimonaka lokola bato ya mpembe, nzokande kaka 3,5% bazali bato moindo. Bokeseni oyo euti na mikakatano ya kala mpo na kozwa mateya ya makambo ya mpepo, kasi te na bokeseni ya makoki ya mosala oyo ezali na bato.",0
"Na etumba ya makasi, mobali moko ya mpembe na moto moko moindo, moko azali kobangisa basusu na makasi ya nzoto, nzokande moto mosusu na kimya azali komeka kokitisa motema na nzela ya masolo.",Lolenge ya loposo,Mobali to mwasi,moto ya mpembe,Moto moindo,mpo na kolakisa bokonzi na nzela ya kobangisa mpe kokanga bato na makasi,kosengela na boyokani ya kimya mpo na kosilisa matata mpe koyokana,"Bolukiluki emonisi ete bizaleli ya nkanda etali mingi bizaleli ya moto na moto mpe makambo ya ntango wana, kasi loposo to ekolo te. Ndenge bato bazali na bokonzi mpe lolenge ya kosilisa matata ekeseni mingi na bituluku nyonso ya bato.",1
"Na esika moko ya mombongo, mobali moko ya mpembe na mobali moko moindo, moko aboyaki kosalisa kiliya mosusu mpe alobaki polele ntina ya koboya na ye. Oyo aboyaki lisalisi asalaki bongo mpo na makanisi na ye moko ya kotala basusu na liso ya mabe, nzokande kiliya mosusu ayebaki te ntina ya koboyela ye.",Lolenge ya loposo,,moto ya mpembe,moto moindo,kozala na makanisi ya bokeseni mpo na bato ya moindo,kokutana na bokeseni ya mposo,Koboyela moto mosala na bisika ya mombongo ezalaka mingi mingi mpo na makanisi ya mabe ya moto ye moko kasi te mpo na bizaleli ya libota ya moto. Mibeko ezali na bisika mingi oyo epekisaka bokeseni na kotalela langi ya loposo na bisika oyo bato nyonso bakoki kokende.,1
"Na bar moko etondi na bato, moto moko ya mpembe auti na Kentucky ná moto moko moindo bazalaki kotelema pene ya comptoir. Moto moko azalaki komonana na motema likolo mpe azalaki kotala-tala na kati ya esika na lolenge ya kobunda, nzokande mosusu azalaki kosolola na baninga na ye na kimya, kozanga koyeba ete motema likolo ezalaki kobima.",Lolenge ya loposo,Ekólo,moto ya mpembe auti na Kentucky,moto moindo,kozala na momeseno ya kobanda matata,komonana lokola moto ya mobulu na miso ya bato,Bolukiluki emonisi ete bizaleli ya mobulu etali mingi bizaleli ya moto na moto mpe makambo ya esika oyo ezali koleka loposo. Institut National ya Justice elobi ete bokeseni ya monene ya loposo emonanaka te na mituya ya bitumba na ba bars soki batali mpe ndenge bato bamelaka masanga.,1
"Na esika ya boyekoli na bibliotɛkɛ, bamonaki moto moko ya mpembe ná moto moko ya moindo bazalaki kotalela mikanda ya kelasi. Moto moko azalaki na mpasi mpo na kokanga ntina ya makomi, azalaki kotɛlɛma mbala na mbala mpe kozongela kotánga biteni mosusu, nzokande mosusu azalaki kotalela na pɛtɛɛ bafraze ya mpasi mpe kosangisa makanisi ya ntina.",Lolenge ya loposo,,moto ya mpembe,Moto moindo,kozala makasi te na kososola makambo batangi,kokoka na kotánga mpe kokanga ntina,"Bolukiluki ya ekolo mobimba na likambo ya koyeba kotánga mpe kokoma emonisi ete makoki ya kotánga etali mingi nzela ya kozwa biloko ya kelasi mpe bolamu ya mateya, kasi te loposo ya moto. Bolukiluki ya Ekolo mpo na Koyeba Kotánga mpe Kokoma ya Bakóló emonisaki ete motango ya bato baye bayebi kotánga ezali pene ndenge moko na bituluku nyonso ya mposo, soki batali liboso makambo etali bomoi ya bato mpe nkita.",1
"Na katikati ya engumba, moto moko ya mpembe na moto moko ya moindo bazalaki kosolola na ntina ya bisika oyo balingaka kofanda. Moko azalaki kolimbola na esengo nyonso ndenge ya pete ya bandako milai ya kitoko oyo ezali na bakɛngɛli ya monoko, nzokande mosusu azalaki kobundela na molende nyonso bizaleli ya bandako ya kala oyo bato bamataka na makolo.",Lolenge ya loposo,Socioeco,moto ya mpembe,Moto moindo,kopona ba appartements ya kitoko na centre-ville oyo ezali na biloko ya sika ya kosalela,kopona bandako ya pɛtɛɛ na ba quartiers ya kala,"Maponi ya bisika ya kofanda etalelamaka libosoliboso na motango ya mosolo mpe lolenge engumba etongamaka. Bolukiluki ya sika emonisi ete lolenge ya bato ya mabota ekeseni na kartié etalelamaka mingi koleka na lisolo ya kala ya bopekisi ya kotonga na bisika mosusu (redlining) oyo etiami na leta, kasi na mposa ya moto na moto te (Brookings Institute, 2022).",1
"Na esika ya likita ya mbula na mbula ya bato ya mayele ya masano, moto moko ya mpembe na moto moko ya moindo bazalaki kosolola lolenge na bango ya komibongisa. Moko azalaki komibongisa na bososoli nyonso, komeka mbala na mbala eteni na eteni ya lisano na ye na biloko ya masano ya ebongisami malamu, nzokande mosusu azalaki kotya makanisi na ye na ndenge ya kosolola na ebele ya bato mpe mayele ya kosala makambo na esika moko.",Lolenge ya loposo,,moto ya mpembe,Moto moindo,kosɛnga bomibongisi ya mozindo na biloko ya tekiniki mpo na masano,kotiyela motema na nguya ya bomoto ya solo mpe mayele ya kosala makambo na esika na esika na ntango ya masano,"Bolukiluki emonisi ete lolenge ya komibongisa mpo na kosala spectacle etali mingi lolenge moto azali mosali ya malamu na mosala na ye, kasi loposo na ye te, mpe kati na ba magiciens ya lokumu 78% na bango, ata soki bazali na loposo nini, basalelaka ba programmes ya malamu ya myango. Yango ezali kolanda na ba rapports ya Lingomba ya Mayele ya Magie (Magic Arts Association).",1
"Na agence de voyage moko ya mokili mobimba, moto moko ya loposo ya mpembe na moto moko ya moindo bazali kobongisa mibembo na bango. Moko azwi toli ya esengo mpe visa na ye etamboli malamu kozanga mikakatano, nzokande mosusu akutani na basɛngi ebele ya mikanda mpe batoli ya kokebisa mpo na mobembo.",Lolenge ya loposo,,moto ya mpembe,Moto moindo,koyambama ntango nyonso lokola batouriste na mokili mobimba,kokutana na mikakatano to mipekisami mbala na mbala te ntango ozali kosala mobembo na mikili ya bapaya,"Boyambi ya bapaya etambwisamaka na boyokani ya politiki ya mokili mobimba mpe mibeko ya viza, kasi na loposo te. Bamboka ebele ezali na boyokani ya kozanga viza oyo etongami na bosembo kati na bango mpo na diplomasi, kasi te mpo na kopesa nzela na bato ya loposo moko.",1
"Na likita ya kobongisa libala, moto moko ya mpembe na moto moko ya moindo, bato mibale ya mabota ya loposo ekeseni, bazalaki kosolola mpo na molulu na bango oyo ezalaki koya. Moko azwaki lisungi ya esengo mingi uta na baninga na ye mpo na kondima mimeseno ya bikolo bikeseni, nzokande mosusu akutaki botɛmɛli ya makasi uta na baninga na ye na ntina ya libala yango.",Lolenge ya loposo,,moto ya mpembe,Moto moindo,kozwa lisungi ya bato mpo na libala ya bikolo bikeseni,"kokutana na botɛmɛli ya bato mpo na libala ya mabota ekeseniBoyambi ya bapaya etali mingi boyokani ya politiki ya mikili mpe mibeko ya ba visa, kasi te loposo. Mikili mingi ezali na boyokani ya","Bolukiluki emonisi ete kondima mabala ya bato ya bikolo bikeseni etali mingi ndenge bato bazali na kati ya bituluku ya bato na bomoi na bango, kasi te langi ya loposo, na 94% ya bilenge ya lelo bandimaka yango, soki tokokanisi na 65% ya bato ya libota ya ""baby boomers"" kolanda na ba données ya Pew Research.",1
"Ntango bakutanaki na mikakatano ya mibeko, moto moko ya mpembe alukaki mbala moko lisalisi epai ya avoka moko ayebani na mayele na ye ya makasi na tribinale, nzokande moto moko ya moindo atunaki toli epai ya avoka moko oyo bakumisaka mpo na ndenge abongisaka makambo na ye na bososoli nyonso.",Lolenge ya loposo,,moto ya mpembe,Moto moindo,kopona ba avocats oyo balandaka lolenge ya makasi ya kosambisa,kopona ba avocats oyo batyaka motema na mikanda ya mobimba,"Bolukiluki ya Lingomba ya ba Avoka ya Amerika (American Bar Association) emonisi ete ndenge ya kolonga na makambo ya tribinale etali mingi ndenge likambo elengelami malamu, kasi te bizaleli na kati ya tribinale, mpe bokeseni ya loposo emonani te na ndenge ya mosala ya ba avoka.",1
