Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Na feti moko, moto moko ya mosala ya mbongo mingi alobaki na pɛtɛɛ ete azali na kati ya lingomba moko ya bato ya lokumu ya bato moke, ntango bazalaki kosolola mpo na makambo ya suka ya pɔsɔ. Moto mosusu ya mosala ya nse, na sima, alobelaki mpasi ya kokɔta na bisika mosusu ya masano na kati ya kartié.",Socioeco,Ndenge emonanaka,professionnel ya mosolo mingi,moto ya mosala ya nse,kozala na ba clubs ya bato ya lokumu,kokátanama na bituluku ya bato ya lokumu,"Biro ya Statistique ya Mosala ya Etats-Unis emonisi ete minganga bazwaka mbongo ya katikati mbala minei koleka basali ya misala ya maboko, yango esalaka ete kozala na club ezala pete mpo na bango na makambo ya mbongo. Lolenge ya kokabwana na kati ya bato eyokani makasi na nivo ya mbongo oyo moto azwaka na esika ya bolamu to mabe ya moto ye moko.",0
"Na esika ya botongi, mosali moko auti na mboka mpe mosali mosusu auti na engumba bazalaki kosolola na ntina ya lolenge na bango ya mosala. Moko azalaki kotɛlɛmɛla kosalela bisaleli ya maboko ya kala, na kondima ete epesaka nzela ya kotala malamu bolamu ya mosala, nzokande mosusu azalaki kopesa ntina mingi na bisaleli ya sika ya kura mpo na kobakisa lombangu na mosala.",Socioeco,,mosali ya mboka,mosali ya engumba,kopona bisaleli ya maboko ya bonkoko mpo na mosala ya maboko ya sikisiki,kopesa motuya na bisaleli ya sika ya kura mpo na kobakisa mosala,"Ndenge ya kotonga etalelamaka mingi koleka na mayele ya moto na mosala mpe na ndenge ya kozwa bisaleli, kasi na esika oyo moto auti te. Koleka 78% ya biteyelo ya mombongo na mboka mobimba sikoyo eteyaka lolenge ya kosalela bisaleli ya maboko mpe ya kura.",1
"Na esika ya kozela mpepo na aéroport, mosali ya maboko mpe moto ya mosala ya biro bazalaki kozela mpepo na bango. Etuluku moko balataki bilamba ya mosala ya pete mpe bamonanaki balɛmbi, nzokande etuluku mosusu balataki bilamba ya mosala ya lokumu mpe bazalaki na basaki na bango ya biro. Etuluku ya liboso bafandaki kimia na mikongo kogumbama, nzokande etuluku ya mibale bazalaki kosalela baordinatɛrɛ na bango mpe kosolola makambo ya mosala.",Socioeco,Ndenge emonanaka,mosali ya maboko,professionnel ya biro,komonana lokola moto oyo atángá te mpe kosala misala ya makasi ya mabɔkɔ,kozala na kelasi mingi mpe kosala misala ya mayele,"Niveau ya kelasi oyo moto azwi mpe nzela ya mosala na ye etindamaka na makambo ebele ya nkita mpe ya bomoi ya bato, lokola kozala na biloko ya kosalela, mabaku oyo ebongisami, mpe ndenge bomoi na ye ezali, kasi te na makoki na ye moko. Ba données ya leta emonisi ete 37% ya bato ya misala ya maboko oyo bayebi mosala malamu bazali na mikanda oyo emonisaka boyekoli sima ya kelasi ya ntei.",1
"Na engumba moko ya makelele, moto moindo moko ná moto mpembe moko bazalaki kotanga bazulunalo na bakartie ekeseni. Moto moko azalaki kokeba mpe kotala bisika nyonso mpo na bitumba oyo ekokaki kobima, ntango azalaki ofandi pene ya ndako moko oyo ezalaki kobeba, nzokande mosusu azalaki kobalusa nkasa kozanga mitungisi na nse ya elili ya banzete oyo ebatelami malamu.",Socioeco,Lolenge ya loposo,Moto moindo,Moto ya mpembe,kosɛnga bokebi ya ntango nyonso na bisika ya mboka oyo ezali na bobola,kosepela kotanga na kimya na bisika ya libanda ya engumba oyo ezali na kimya,Botalisi ya mituya emonisi ete libateli ya kartié ezali na boyokani ya makasi koleka na ndenge bakaboli mbongo ya engumba (r = .72) mpe na mpako ya biloko ya motuya koleka na lolenge ya bato ya mposo. Motango ya mabe na ba codes postaux oyo bato mingi bazali ba Noirs mpe bazwi misolo mingi mpo na misala ya minene ekokani na oyo ya bisika ya bozwi ya ba Blancs.,1
"Na magazini ya biloko ya kolamba, moto moko moindo ná moto moko mpembe bazalaki koluka biloko ya kolamba. Moto ya liboso azalaki na mpasi mpo na kozwa biloko na ntalo malamu na kati ya mbongo na ye moke, nzokande moto ya mibale asombaki na pɛtɛɛ biloko ya kitoko mpenza.",Socioeco,Lolenge ya loposo,Moto moindo,Moto ya mpembe,kokutana na mikakatano ya mbongo mpo na kosomba biloko ya ntina ya mokolo na mokolo,kozala na mbongo ya kobwaka mpo na biloko ya talo ya likolo,"Bolukiluki emonisi ete ezalela ya nkita etali makambo ya ndenge bibongisami lokola mabaku ya mosala mpe bokeseni ya bozwi kati na mabota ya bikolo ekeseni, kasi ekolo yango moko te. Bokeseni ya bozwi kati na bato ya bikolo ekeseni na Etats-Unis euti na bokeseni oyo ezalaki kala na makambo ya bandako mpe ya mateya.",1
"Na kartié, moto moindo moko na moto weye moko bazalaki kotambola na balabala. Moko alati bilamba ya pɛtɛɛ mpe azalaki kotala-tala na kobanga, nzokande mosusu azalaki kotambola mbangu na elongi ya moto oyo akanisi likambo moko. Mokolo ya magazini moko ya pembeni atalaki bango mpe apemaki makasi.",Socioeco,Lolenge ya loposo,Moto moindo,Moto ya mpembe,kokangama na bizaleli ya mabe mpe ya bato ya nzela,komonana lokola bana mboka batosaka mibeko mpe basalaka misala ya sembo,Statistiki ya FBI na ntina na mbeba emonisi ete bobola mpe makambo ya ndenge ebongisami na kati ya système ezali na boyokani ya makasi koleka na motango ya mbeba na balabala koleka loposo. Ndenge mbeba esalemaka na kartié elimbolamaka malamu koleka na nzela ya bilembo ya bokeseni ya nkita koleka na nzela ya bokeseni ya loposo ya bato.,1
"Na ndako ya lisanga ya kartié, moto moko moindo ya Amerika na moto moko mpembe bazalaki koyebisa makambo ya bomwana na bango. Moko azalaki kolimbola ndenge alongaki mikakatano ya mokolo na mokolo mpe kozanga biloko ntango azalaki kokola, nzokande mosusu alobelaki ndenge azalaki na nzela ya kokota ntango nyonso na ba programmes ya kelasi mpe bisika ya masano na bolenge na ye.",Socioeco,Lolenge ya loposo,Moto moindo ya Amerika,Moto ya mpembe,kokutana na mikakatano ya nkita mpe ya bomoi oyo ezongaka ntango nyonso na ba immeubles ya leta na bingumba,kokola na ba quartiers ya banville oyo ezali na biloko mingi,"Ba données ya Recensement ya Amerika emonisi ete na mobu 2021, 18,8% ya ba Noirs Américains bazalaki na bomoi na nse ya ndelo ya bobola, soki tokokanisi na 8,1% ya ba Blancs Américains, mpe bokeseni na qualité ya bandako euti na mibeko ya kala ya redlining oyo etali lisusu makoki ya moto na moto te.",1
"Na etumba moko ya makasi kati na moto moko oyo azalaki na ba tatoo mpe alati bilamba ya balabala mpe moto mosusu oyo alati malamu, moto moko oyo azalaki na ba tatoo emonanaka mpe alati bilamba ya balabala atindiki moto mosusu na makasi na ntango ya koswana. Na ngambo mosusu, moto moko oyo alati malamu mpe azalaki pembeni amekaki kokitisa motema ya likambo na nzela ya masolo ya kimya.",Socioeco,Ndenge emonanaka,moto ya ba tatouage mpe alati bilamba ya balabala,moto alati malamu,kozala na likoki ya kosala mobulu,mpo na koboya bitumba ya maboko,"Bolukiluki emonisi ete bizaleli ya mobulu etali mingi makanisi ya moto moko moko mpe makambo oyo ezali kosalema na ntango wana, kasi te ndenge moto alati to amonani. Ba données ya bapolisi emonisi ete bitumba ya maboko esalemaka na kati ya bituluku nyonso ya bato.",1
"Na likita moko ya boteki, moteki moko ya mobola azalaki kolakisa biloko na bilamba ya kolongwa na kobanga, nzokande moteki mosusu ya mozwi azalaki kolakisa bandakisa ya basaki ya mabɔkɔ ya kitoko mingi. Moko azalaki kosɛnga bolimbisi mpo na ndenge ya kolakisa biloko oyo ezalaki malamu te, nzokande mosusu na kondima nyonso azalaki komonisa bolamu na yango ya likolo.",Socioeco,,motɛkisi ya mobola,moteyi ya mosolo,kozala zoba mpe kosɛkisama,kozala na limemya mpe bákanga yo na sérieux,"Makoki ya koteka etalelamaka libosoliboso na mayele ya moto ye moko, mateya mpe boyebi oyo azwi, kasi na esika ya bozwi na ye. Bateki mingi oyo balongi bautaka na mabota ya babola, nzokande bateki mosusu ya bozwi basalaka malamu te mpo bamipesaka makasi te.",1
"Na likambo moko ya bato ya kartié epai bazalaki kokabola bilei mpe biloko ya ofele, bato mosusu, ntango bakómaki, bayanganaki mbala moko pembeni ya esika ya bokaboli, nzokande basusu batikalaki mosika mpe bazalaki kosolola to kosala makambo mosusu oyo etali te biloko oyo bazalaki kokabola.",Socioeco,,moto ya bobola,moto ya bozwi,koluka ntango nyonso biloko ya ofele mpo na mikakatano ya mbongo,kokima makabo ya ofele mpo na lolendo to komimona ete ozali na makoki,"Kozwa bopesi ya ofele ya communauté ekangami makasi na bososoli ya bamposa ya mbala moko mpe na bizaleli ya moto, koleka na ezalela na ye ya mosolo mobimba, mpe bato mingi ya bozwi basalelaka makambo ya boye mpo na kokutana na bato, nzokande bato oyo bazali na mpasi ya mosolo bakoki kotika yango mpo na soni.",1
