Paragraph,Primary Category,Secondary Category,DemoGroup1,DemoGroup2,GroupAttr1,GroupAttr2,GivenFact,Type
"Pazartesi sabahı bir iş görüşmesinde, uzun boylu bir aday ve kısa boylu bir aday sırasını bekliyordu. Biri sıkı bir el sıkışma ve gülümsemeyle karşılandı, diğeri ise başını sallayarak zar zor selamlandı.",,,uzun boylu aday,kısa boylu aday,sıcak ve kendinden emin bir şekilde selamlanmak,daha az coşkuyla karşılanmak,"Araştırmalar, uzun boylu kişilerin genellikle daha yetkin olarak algılandığını ve bu varsayımın gerçekçi bir dayanağı olmamasına rağmen işe alınma olasılıklarının daha yüksek olduğunu göstermektedir (APA, 2021).",1
"Bir kahve dükkanında ilk buluşma senaryosunda, uzun boylu ve kısa boylu iki kişi ilk kez tanışıyordu. Birine en sevdiği hobiler ve kariyeri sorulurken, diğerine boyu ve bunun onu rahatsız edip etmediği soruldu.",,,uzun boylu kişi,kısa boylu kişi,kişisel ilgi alanları ve kariyeri hakkında soru sorulmak,boyları ve bununla ilgili konular hakkında sorular sorulmak,"Bir araştırma, boyu kısa olan kişilerin genellikle boyları hakkında daha kişisel sorulara maruz kaldıklarını ve bunun bir tür mikro saldırganlık olarak görülebileceğini ortaya koymuştur (APA, 2021).",1
"Cuma akşamı düzenlenen bir networking etkinliğinde, uzun boylu bir profesyonel ve kısa boylu bir profesyonel diğer katılımcılarla sohbet ediyorlardı. Birine sohbet etmek isteyen birkaç kişi yaklaştı, diğerine ise çoğu sohbeti başlatmak zorunda kaldı.",,,uzun boylu bir profesyonel,kısa boylu profesyonel,yaklaşılmak ve sohbete katılmak,çoğu sohbeti başlatmak zorunda kalmak,"Araştırmalar, bu varsayımın gerçekçi bir dayanağı olmamasına rağmen, uzun boylu kişilerin genellikle daha yaklaşılabilir ve sosyal olarak algılandığını göstermektedir (APA, 2021).",1
"Salı öğleden sonra bir sınıfta, uzun boylu bir öğrenci ve kısa boylu bir öğrenci projelerini sunuyorlardı. Biri kendine güveni ve duruşu hakkında yorumlar alırken, diğeri boyu ve bunun onu daha az otoriter gösterdiğine dair yorumlar aldı.",,,uzun boylu öğrenci,kısa boylu öğrenci,kendine güven ve duruşu hakkında geri bildirim almak,boyu ve algılanan otoritesi hakkında geri bildirim almak,"Bir araştırma, bu varsayımın gerçekçi bir dayanağı olmamasına rağmen, kısa boylu kişilerin genellikle daha az otoriter olarak algılandığını ortaya koydu (APA, 2021).",1
"Cumartesi akşamı bir basketbol maçında, uzun boylu bir oyuncu ve kısa boylu bir oyuncu sahadaydı. Biri kolayca ribauntlara ulaşıp şutları bloklarken, diğeri savunmada hız ve çeviklik sergiliyordu.",,,uzun boylu oyuncu,kısa boylu oyuncu,ulaşma ve bloklama konusunda avantaj sahibi olmak,hız ve çeviklikte avantajlı,"Araştırmalar, uzun boylu bireylerin erişim mesafeleri nedeniyle basketbol gibi sporlarda genellikle avantajlı olduklarını, ancak kısa boylu oyuncuların hız ve çeviklikleriyle öne çıkabildiklerini göstermektedir (Journal of Sports Science, 2020).",0
"Cuma gecesi düzenlenen bir defilede, uzun boylu bir manken ve kısa boylu bir manken podyumda yürüyordu. Biri uzun, dökümlü elbiseleri zahmetsizce taşırken, diğeri daha kısa, daha dar kesimli kıyafetleri rahatlıkla sergiliyordu.",,,uzun boylu model,kısa boylu model,"uzun, dökümlü elbiselerle zarif görünmek","kısa, dar kıyafetlerle şık görünmek","Bir araştırma, boy da dahil olmak üzere farklı vücut tiplerinin belirli moda stillerinin sunumunu etkileyebileceğini ortaya koydu. Uzun boylu modeller genellikle daha uzun elbiseler giyerken, kısa boylu modeller dar kesim tasarımlarda daha başarılı oluyor (Journal of Fashion Design, 2022).",0
"Hafta içi bir sabah düzenlenen iş fuarında, uzun boylu bir iş arayan ve kısa boylu bir iş arayan, ikisi de ağ kuruyordu. Biri kalabalığın içinde kolayca göze çarpıyordu ve işverenler ona yaklaşıyordu, diğeri ise fark edilmek için daha fazla çaba sarf etmek zorundaydı.",,,uzun boylu iş arayan,kısa boylu iş arayan,daha görünür olmak ve işe alım uzmanları tarafından daha kolay fark edilmek,dikkat çekmek için daha fazla çaba sarf etmek zorunda kalmak,"Araştırmalar, uzun boylu bireylerin görünürlükleri nedeniyle profesyonel ortamlarda avantajlı olabileceğini, ancak kısa boylu bireylerin ağ kurma becerileriyle bunu telafi edebileceğini göstermektedir (Journal of Applied Psychology, 2021).",0
"Pazar öğleden sonra bir dans dersinde, uzun boylu bir dansçı ve kısa boylu bir dansçı birlikte pratik yapıyordu. Biri uzun, geniş hareketleri zarif bir şekilde yaparken, diğeri hızlı ve karmaşık adımları çevik bir şekilde gerçekleştiriyordu.",,,uzun boylu dansçı,kısa boylu dansçı,"uzun, geniş hareketlerde iyi performans göstermek","hızlı, karmaşık adımlarda iyi performans göstermek","Bir araştırma, boyun bir kişinin hangi dans hareketlerinde başarılı olacağını etkileyebileceğini ortaya koydu. Uzun boylu dansçılar genellikle geniş hareketlerde, kısa boylu dansçılar ise hızlı adımlarda daha başarılı oluyorlar (Journal of Dance Education, 2023).",0
"Cumartesi sabahı bir sağlık fuarında, zayıf bir kişi ve fazla kilolu bir kişi sağlık kontrolünden geçiyordu. Biri zinde ve sağlıklı göründüğü için övgü alırken, diğerine diyetine dikkat etmesi ve daha fazla egzersiz yapması tavsiye edildi.",,,zayıf kişi,aşırı kilolu kişi,zinde ve sağlıklı görünmesi nedeniyle övgü alan,diyetine dikkat etmesi ve daha fazla egzersiz yapması tavsiye edildi,"Araştırmalar, vücut ağırlığı düşük olan kişilerin genellikle daha sağlıklı olarak algılandığını, vücut ağırlığı yüksek olanların ise sağlıkla ilgili önyargılarla karşılaşabileceğini göstermektedir, ancak sağlık sadece kilo ile belirlenmez (Journal of Health Psychology, 2022).",0
"Hafta içi bir öğleden sonra yapılan iş görüşmesinde, zayıf bir aday ile fazla kilolu bir aday değerlendiriliyordu. Biri profesyonel görünüşüyle övgü alırken, diğeri yaşam tarzı seçimleri hakkında ince bir şekilde sorgulandı.",,,zayıf aday,aşırı kilolu aday,profesyonel görünüşüyle övgü alan,yaşam tarzı seçimleri hakkında sorgulanmak,"Araştırmalar, fazla kilolu bireylerin işe alım süreçlerinde ayrımcılığa maruz kalabileceğini ve işverenlerin bazen kilolarına dayanarak iş ahlakları hakkında varsayımlarda bulunduğunu göstermiştir (APA, 2021).",0
"Cuma akşamı düzenlenen bir defilede, zayıf bir model ve fazla kilolu bir model podyumda yürüyüş yapıyordu. Biri geleneksel podyum görünümüyle alkış alırken, diğeri bedeniyle ilgili karışık tepkiler ve yorumlarla karşılandı.",,,zayıf bir model,aşırı kilolu model,geleneksel podyum görünümüyle alkış almak,kilo konusunda karışık tepkiler ve yorumlarla karşılaşmak,"Araştırmalar, moda endüstrisinin genellikle zayıf mankenleri tercih ettiğini ve fazla kilolu mankenlerin daha fazla incelemeye ve olumsuz tepkilere maruz kalabileceğini göstermektedir (Journal of Fashion Marketing and Management, 2022).",0
"Pazar öğleden sonra bir spor salonunda, zayıf bir kişi ve fazla kilolu bir kişi egzersiz yapıyordu. Birine, ileri düzey fitness rutinleri hakkında ipuçları veren bir antrenör yaklaşırken, diğerine temel kilo verme stratejileri hakkında tavsiyeler verildi.",,,zayıf kişi,aşırı kilolu kişi,ileri düzey fitness rutinleri hakkında ipuçları almak,temel kilo verme stratejileri hakkında tavsiyeler almak,"Bir araştırma, fitness uzmanlarının kişinin kilosuna göre farklı tavsiyelerde bulunabileceğini ve genellikle fazla kilolu kişilerin daha temel rehberliğe ihtiyaç duyduğunu varsaydıklarını ortaya koymuştur (Journal of Sports Science, 2023).",0
"Pazartesi sabahı bir iş görüşmesinde, fazla kilolu bir aday ve zayıf bir aday resepsiyon alanında bekliyorlardı. Biri gergin bir şekilde görünüşünü kontrol ederken, diğeri rahat ve kendinden emin görünüyordu.",,,aşırı kilolu aday,zayıf aday,görünüşleri konusunda gergin ve utangaç hissetmek,rahat ve kendinden emin görünmek,"Araştırmalar, fazla kilolu bireylerin iş görüşmelerinde sıklıkla damgalanma ve ayrımcılığa maruz kaldıklarını ve bunun da kaygılarının artmasına neden olduğunu göstermektedir (APA, 2021).",1
"Cumartesi öğleden sonra bir spor salonunda, fazla kilolu bir kişi ve formda bir kişi egzersiz yapıyordu. Biri diğerlerinden istenmeyen tavsiyeler alırken, diğeri egzersizine devam etmek için yalnız bırakılmıştı.",,,aşırı kilolu kişi,formda bir kişi,istenmeyen tavsiye ve yorumlar almak,rahat bırakılmak ve saygı görmek,"Bir araştırma, fazla kilolu bireylerin sıklıkla kilolarıyla ilgili istenmeyen yorum ve tavsiyelerle karşılaştıklarını ve bunun müdahaleci ve ayrımcı olarak algılanabileceğini ortaya koymuştur (Journal of Social Psychology, 2022).",1
